STATE,COUNTYNAME,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,MUA_County,MUA_State,MUA_count
South Carolina,Abbeville County,85.33076923076922,19.292307692307695,85.5,19.361538461538462,83.89230769230768,14.63846153846154,61.120000000000005,8.0,100.0,42.114285714285714,,,86.875,44.525,46.83076923076923,50.638461538461534,8.0,57.9,,53.44444444444444,46.676923076923075,5.007692307692308,4.9692307692307685,50.0,0.9833333333333334,,12.342857142857143,4.961538461538462,73133.0,7287.0,27939.0,2428.0,536.0,7.0,69.0,25.0,0.0,0.0,1017.0,323.0,Abbeville County,South Carolina,2.0
Louisiana,Acadia Parish,81.53333333333333,14.979999999999999,81.72666666666667,14.246666666666666,71.24545454545455,4.963636363636364,60.949999999999996,27.616666666666664,83.825,30.875,,,54.7625,14.5625,52.65333333333333,45.291666666666664,77.98333333333333,60.9,,64.225,52.65333333333333,6.84,9.709090909090909,2.6833333333333336,10.466666666666667,,3.1333333333333333,6.819999999999999,83952.0,5750.0,19406.0,2422.0,76.0,26.0,330.0,17.0,0.0,0.0,761.0,381.0,Acadia Parish,Louisiana,1.0
Virginia,Accomack County,87.66428571428571,24.985714285714288,88.0,25.22142857142857,63.82608695652174,10.81304347826087,71.875,41.675,78.4,31.0,,,51.6,14.927272727272726,44.135714285714286,61.63913043478261,96.875,57.26153846153846,,82.76666666666667,44.09285714285714,5.251851851851852,5.271428571428571,0.0,11.11111111111111,,1.5416666666666667,5.307407407407408,19804.0,2194.0,9715.0,909.0,325.0,6.0,77.0,2.0,0.0,0.0,385.0,190.0,Accomack County,Virginia,1.0
Idaho,Ada County,95.97058823529412,42.49411764705882,96.31764705882354,42.76470588235294,84.34375,24.0625,80.28125,22.5,91.85625,62.5875,98.22999999999999,46.260000000000005,79.2235294117647,24.61176470588235,63.029411764705884,66.49411764705883,57.66875,66.825,66.82727272727273,70.50588235294117,62.8,3.111764705882353,3.6705882352941175,6.4624999999999995,1.9125,14.280000000000001,4.5588235294117645,3.1705882352941175,427066.0,29572.0,5966.0,763.0,12105.0,847.0,2455.0,713.0,843.0,362.0,12271.0,3002.0,Ada County,Idaho,10.0
Iowa,Adair County,96.44285714285715,18.67142857142857,96.44285714285715,18.678571428571427,80.0,47.660000000000004,50.0,0.0,80.0,20.0,100.0,0.0,100.0,17.142857142857142,63.17857142857143,76.28,0.0,100.0,75.0,58.94285714285714,63.285714285714285,3.942857142857143,0.0,,0.0,0.0,16.150000000000002,3.8428571428571425,28316.0,1319.0,219.0,0.0,145.0,0.0,1.0,12.0,15.0,2.0,110.0,48.0,Adair County,Iowa,3.0
Kentucky,Adair County,85.95,16.483333333333334,85.95833333333333,16.466666666666665,87.82857142857142,11.242857142857142,85.92857142857143,2.0714285714285716,92.89999999999999,39.1,100.0,0.0,30.54,4.54,55.06666666666666,17.75714285714286,39.98571428571428,30.73333333333333,0.0,69.9,55.083333333333336,5.833333333333333,39.833333333333336,0.0,0.0,100.0,5.720000000000001,5.783333333333334,73303.0,5420.0,1743.0,23.0,299.0,46.0,217.0,3.0,120.0,3.0,331.0,229.0,Adair County,Kentucky,1.0
Missouri,Adair County,91.8875,19.0625,91.975,19.3125,99.8,20.2,95.73333333333333,34.199999999999996,97.875,45.35,50.0,50.0,100.0,0.0,48.675,86.89999999999999,18.833333333333332,39.375,50.0,55.300000000000004,50.2625,4.9375,0.0,0.0,0.0,0.0,0.0,4.9624999999999995,24262.0,2336.0,878.0,156.0,427.0,69.0,117.0,17.0,16.0,0.0,62.0,65.0,,,
Oklahoma,Adair County,85.92,14.48,86.36,14.6,97.63333333333333,0.0,82.32000000000001,8.58,83.1,5.45,50.0,0.0,74.9,1.6,44.68,67.5,51.42,63.025,100.0,49.940000000000005,44.46,6.38,10.0,5.24,0.0,0.0,0.0,6.4,8226.0,1457.0,80.0,6.0,265.0,79.0,6591.0,3022.0,4.0,7.0,650.0,161.0,Adair County,Oklahoma,4.0
Colorado,Adams County,88.98157894736842,35.078947368421055,92.88947368421053,38.51315789473684,90.68571428571428,28.89142857142857,84.7918918918919,20.41351351351351,86.42857142857143,42.934285714285714,83.52380952380952,39.01904761904762,70.05405405405405,14.886486486486485,67.6263157894737,64.01944444444445,77.11621621621622,66.83333333333333,80.88571428571429,65.8162162162162,65.95,3.6789473684210527,6.508571428571428,4.078378378378378,2.623529411764706,1.7449999999999999,5.397297297297297,3.5513513513513515,567312.0,46247.0,60914.0,6464.0,36872.0,2819.0,9227.0,1852.0,1474.0,301.0,70943.0,21186.0,Adams County,Colorado,16.0
Idaho,Adams County,95.03333333333335,22.183333333333334,95.13333333333333,22.21666666666667,100.0,50.0,100.0,50.0,,,,,59.36666666666667,47.300000000000004,43.083333333333336,0.0,37.5,100.0,,95.46666666666665,43.050000000000004,9.133333333333333,,0.0,0.0,,0.0,9.166666666666666,10058.0,1455.0,14.0,0.0,3.0,0.0,19.0,9.0,0.0,0.0,15.0,37.0,Adams County,Idaho,2.0
