ZIP Code,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors
601,70.3,16.3,85.9,60.6,52.5,29.0,100.0,100.0,100.0,100.0,-,-,63.3,21.7
602,61.9,20.0,76.3,29.0,61.3,3.2,100.0,54.5,100.0,100.0,-,-,73.8,25.3
603,75.9,24.0,90.8,49.1,69.6,24.7,100.0,28.1,32.1,32.1,-,-,75.3,23.1
606,57.9,8.3,29.0,0.0,100.0,0.0,-,-,-,-,-,-,58.0,10.5
610,69.8,22.1,63.1,23.6,60.2,7.0,100.0,100.0,-,-,-,-,79.3,17.4
611,63.7,29.5,100.0,45.0,100.0,100.0,-,-,-,-,-,-,63.4,8.4
612,80.0,29.5,100.0,23.3,87.1,27.8,100.0,100.0,89.9,31.2,-,-,79.1,26.3
616,72.5,16.5,100.0,100.0,93.3,20.1,-,-,65.0,50.4,-,-,71.8,16.2
617,77.1,26.2,86.4,66.0,74.2,6.7,100.0,0.0,100.0,48.7,-,-,80.9,16.7
622,72.3,24.4,77.6,77.6,62.8,8.2,-,-,-,-,-,-,71.8,19.3
623,79.9,29.7,100.0,24.5,73.1,17.4,90.4,12.8,73.3,15.8,-,-,76.4,30.2
624,73.9,24.7,100.0,0.0,76.9,38.5,-,-,100.0,0.0,-,-,72.3,19.8
627,71.2,20.9,100.0,33.1,70.0,21.1,100.0,100.0,-,-,-,-,72.7,20.4
631,64.9,30.4,-,-,0.0,0.0,-,-,-,-,-,-,60.5,25.6
636,69.8,16.4,-,-,-,-,-,-,-,-,-,-,85.8,49.5
637,81.1,28.3,100.0,6.8,79.2,17.8,26.6,0.0,100.0,0.0,-,-,65.2,18.7
638,65.2,14.9,44.6,8.4,75.1,9.9,86.8,69.8,23.2,0.0,-,-,78.1,26.4
641,75.6,21.7,85.5,37.4,69.9,48.5,-,-,0.0,0.0,-,-,72.3,20.0
646,80.8,32.4,83.1,51.1,75.5,17.1,100.0,0.0,-,-,-,-,89.9,41.4
647,72.7,11.9,100.0,0.0,94.7,22.7,-,-,100.0,100.0,-,-,83.1,19.4
650,74.7,20.1,100.0,46.2,58.0,27.2,-,-,0.0,0.0,-,-,81.2,10.0
652,75.7,22.4,80.0,0.0,100.0,41.2,100.0,0.0,100.0,0.0,-,-,81.6,29.0
653,66.8,11.2,100.0,66.7,59.5,13.6,-,-,-,-,-,-,73.6,14.3
656,77.6,23.3,35.1,0.0,76.9,26.0,100.0,100.0,75.4,75.4,-,-,78.2,20.8
659,77.4,26.9,67.0,33.0,97.1,39.1,100.0,0.0,100.0,0.0,-,-,79.3,43.0
660,83.6,28.0,100.0,38.1,71.6,21.0,-,-,-,-,-,-,79.2,29.3
662,77.5,27.4,100.0,83.3,76.8,27.6,100.0,0.0,100.0,54.3,-,-,75.0,26.3
664,80.0,18.9,78.4,33.3,91.2,7.7,-,-,-,-,-,-,74.1,23.6
667,77.0,23.7,81.0,52.0,65.9,24.2,-,-,-,-,-,-,67.6,15.3
669,66.7,19.0,64.0,0.0,77.1,33.9,100.0,0.0,-,-,-,-,63.0,25.3
670,68.9,19.4,-,-,42.2,0.0,-,-,-,-,-,-,56.8,16.1
674,77.5,25.2,75.8,40.3,83.3,34.7,100.0,0.0,100.0,10.4,-,-,65.4,21.4
676,71.2,23.3,69.9,0.0,79.0,13.9,100.0,0.0,-,-,-,-,77.8,25.1
677,68.3,23.7,95.6,50.4,64.6,24.7,-,-,-,-,-,-,84.4,32.6
678,73.3,16.2,66.0,0.0,74.7,33.6,70.9,48.1,-,-,-,-,73.7,32.5
680,74.3,28.9,74.6,11.9,78.9,29.3,100.0,100.0,100.0,30.3,-,-,71.3,23.1
682,78.1,36.2,89.7,69.3,81.3,31.8,100.0,100.0,0.0,0.0,-,-,75.3,29.4
683,74.2,23.7,88.1,0.0,64.1,25.9,-,-,100.0,50.0,100.0,0.0,70.8,19.8
685,68.7,20.5,89.9,37.8,87.6,22.9,100.0,32.4,100.0,100.0,-,-,64.1,18.9
687,76.2,18.8,100.0,0.0,73.6,4.1,-,-,-,-,-,-,80.6,28.3
688,66.8,14.7,100.0,0.0,79.1,18.2,-,-,100.0,52.8,-,-,69.9,19.4
690,79.4,27.4,100.0,0.0,100.0,22.1,-,-,-,-,-,-,82.4,37.6
692,78.7,26.0,86.0,34.2,70.7,19.3,-,-,-,-,-,-,72.0,16.6
693,75.6,24.0,88.8,36.1,79.6,28.4,-,-,100.0,0.0,-,-,75.8,22.0
694,-,-,-,-,-,-,-,-,-,-,-,-,100.0,0.0
698,79.2,28.3,63.2,0.0,82.1,25.0,-,-,-,-,-,-,76.4,29.0
703,70.4,15.6,45.2,0.0,65.6,2.0,85.5,41.9,-,-,-,-,78.0,21.4
704,80.5,25.8,-,-,71.9,20.6,-,-,-,-,-,-,95.3,33.9
705,84.7,25.0,100.0,5.0,78.2,17.3,100.0,0.0,-,-,-,-,76.6,20.0
707,77.4,12.5,100.0,44.7,73.7,17.5,-,-,-,-,-,-,75.6,12.3
714,83.0,27.9,100.0,35.5,67.8,15.1,-,-,-,-,-,-,81.5,32.3
715,61.5,15.3,-,-,72.3,8.2,-,-,-,-,-,-,30.3,0.0
716,84.5,39.2,100.0,41.2,64.0,20.3,22.0,22.0,100.0,100.0,-,-,79.0,40.3
717,83.2,32.3,100.0,60.3,78.3,23.1,100.0,100.0,100.0,100.0,-,-,79.2,36.3
718,76.7,21.0,82.3,59.2,51.7,32.0,-,-,100.0,0.0,-,-,78.7,23.3
719,71.1,14.2,100.0,0.0,66.0,5.5,-,-,100.0,100.0,-,-,70.9,34.9
720,74.4,17.4,68.4,0.0,79.0,30.5,55.6,0.0,-,-,-,-,74.9,14.2
723,76.8,21.3,-,-,77.1,16.9,-,-,-,-,-,-,81.8,21.1
725,81.8,26.3,84.8,26.5,78.0,25.5,90.0,39.3,100.0,50.4,-,-,82.8,31.4
727,85.5,38.4,100.0,54.3,81.3,29.0,21.6,21.6,89.7,49.7,-,-,87.9,43.5
728,81.6,28.3,84.8,29.5,67.8,23.4,100.0,100.0,100.0,0.0,-,-,82.8,31.6
729,81.4,28.2,100.0,51.6,83.2,24.3,100.0,100.0,68.8,41.0,-,-,76.4,21.4
730,80.1,30.0,100.0,35.8,72.9,19.1,100.0,0.0,-,-,-,-,80.8,26.0
731,71.1,18.4,100.0,0.0,78.0,18.5,-,-,-,-,-,-,68.0,23.1
735,79.3,18.6,100.0,28.8,69.3,16.9,100.0,0.0,0.0,0.0,-,-,77.3,21.7
736,81.7,30.4,-,-,82.5,28.8,100.0,40.1,100.0,0.0,-,-,74.6,25.2
738,83.8,27.3,100.0,82.8,87.7,37.8,100.0,0.0,70.2,0.0,-,-,84.8,29.7
739,83.0,26.3,100.0,45.0,81.4,31.9,100.0,39.4,-,-,-,-,74.4,24.5
740,77.6,30.6,-,-,79.0,50.0,-,-,-,-,-,-,75.4,19.7
741,79.0,23.6,100.0,0.0,86.8,10.6,-,-,-,-,-,-,80.7,17.1
745,80.8,28.0,100.0,45.7,81.0,27.0,59.6,18.3,79.3,16.6,-,-,78.0,24.2
751,73.7,19.4,100.0,100.0,66.3,14.3,100.0,61.4,-,-,-,-,70.8,18.0
754,75.9,21.1,100.0,0.0,70.2,12.7,-,-,0.0,0.0,-,-,74.5,21.8
757,85.6,35.0,100.0,100.0,84.6,10.2,59.1,31.8,100.0,100.0,-,-,87.7,45.9
765,73.3,18.0,100.0,57.7,76.6,12.9,-,-,100.0,0.0,-,-,68.6,12.3
766,82.9,18.1,100.0,25.4,84.6,17.5,-,-,-,-,-,-,78.3,22.7
767,66.3,16.3,100.0,0.0,79.0,21.6,-,-,100.0,0.0,-,-,73.6,16.8
769,84.6,22.6,64.4,13.7,74.8,21.8,100.0,0.0,-,-,-,-,73.8,21.0
771,77.8,29.8,100.0,0.0,77.3,24.4,100.0,0.0,100.0,96.9,-,-,82.5,27.9
772,82.1,22.9,100.0,100.0,75.8,10.8,-,-,100.0,0.0,-,-,70.3,10.8
773,80.9,27.9,100.0,15.5,88.9,25.1,-,-,0.0,0.0,-,-,74.6,19.8
775,83.0,23.5,100.0,63.6,25.8,0.0,-,-,0.0,0.0,-,-,88.7,11.7
777,77.2,23.9,100.0,0.0,80.7,21.5,36.0,0.0,-,-,-,-,83.4,17.0
778,84.7,37.4,94.4,42.2,82.0,20.7,82.2,57.4,65.1,22.1,-,-,81.5,31.2
780,75.6,32.8,-,-,88.4,30.7,-,-,-,-,-,-,90.1,43.5
782,77.3,15.8,100.0,0.0,61.1,14.1,-,-,-,-,-,-,84.5,24.5
783,72.7,24.4,100.0,3.5,84.0,16.4,-,-,-,-,-,-,72.4,21.4
784,82.7,24.9,69.9,15.5,62.9,11.3,100.0,100.0,-,-,100.0,0.0,83.9,28.5
786,0.0,0.0,-,-,48.8,0.0,-,-,-,-,-,-,-,-
791,79.8,30.8,100.0,39.4,80.3,18.8,30.1,0.0,68.6,20.0,-,-,81.0,22.4
794,77.9,18.8,-,-,78.7,26.4,6.3,6.3,-,-,-,-,76.4,33.1
795,79.4,28.3,53.8,0.0,67.9,19.1,100.0,0.0,100.0,0.0,-,-,78.6,39.7
901,87.6,45.0,100.0,50.1,71.0,14.0,100.0,0.0,100.0,0.0,100.0,100.0,79.5,49.0
906,100.0,76.2,100.0,32.0,-,-,-,-,-,-,-,-,-,-
907,94.3,65.9,93.0,61.5,81.1,35.2,100.0,100.0,47.9,47.9,-,-,92.6,63.1
909,86.7,45.6,100.0,20.3,71.1,16.6,76.5,33.3,100.0,0.0,-,-,91.0,35.9
911,93.2,66.3,100.0,84.5,86.2,27.2,100.0,18.2,52.9,52.9,-,-,77.6,47.9
912,88.4,54.5,84.1,84.1,65.2,21.5,100.0,100.0,56.1,0.0,-,-,76.4,33.9
913,93.8,50.5,100.0,91.2,87.6,31.0,100.0,0.0,100.0,56.1,-,-,72.6,15.3
915,69.7,17.7,82.4,19.6,61.8,16.1,100.0,0.0,100.0,0.0,100.0,0.0,64.5,11.4
917,79.6,29.0,100.0,35.4,65.7,17.6,100.0,100.0,100.0,64.6,-,-,77.1,25.0
918,90.0,65.0,100.0,38.2,83.7,51.7,100.0,0.0,100.0,100.0,0.0,0.0,90.0,47.6
920,86.8,37.8,100.0,38.0,71.3,19.9,80.4,47.8,-,-,-,-,83.8,43.4
921,84.0,31.8,68.6,55.4,75.9,20.1,61.9,15.9,100.0,100.0,-,-,82.7,27.5
923,80.5,28.5,100.0,57.0,81.2,24.2,30.0,0.0,19.5,19.5,-,-,75.5,18.8
924,86.4,33.8,100.0,44.3,79.1,19.0,42.9,42.9,0.0,0.0,-,-,80.5,23.4
925,82.2,48.8,100.0,85.2,43.1,12.5,74.3,0.0,100.0,80.0,-,-,59.5,24.0
926,91.0,54.6,93.1,51.9,80.2,23.6,100.0,14.0,47.5,47.5,-,-,88.7,42.8
927,92.9,68.0,100.0,72.0,79.9,38.8,100.0,100.0,100.0,0.0,-,-,94.3,55.8
934,100.0,100.0,100.0,100.0,100.0,0.0,-,-,-,-,-,-,-,-
949,85.9,31.4,89.1,42.9,83.5,24.6,98.1,62.4,100.0,0.0,-,-,83.9,24.5
950,-,-,-,-,-,-,-,-,-,-,-,-,-,-
951,56.0,10.0,-,-,80.5,28.6,-,-,-,-,-,-,65.2,24.6
952,67.8,13.8,100.0,0.0,77.2,14.2,100.0,100.0,-,-,-,-,76.2,16.1
953,85.4,25.8,86.2,20.5,63.7,17.8,-,-,100.0,0.0,-,-,88.1,34.2
956,78.6,26.6,100.0,35.4,76.8,26.3,60.0,32.7,60.0,60.0,-,-,86.8,28.8
957,83.8,29.9,93.5,17.8,81.6,26.0,100.0,0.0,72.7,0.0,-,-,84.0,28.6
959,89.7,36.1,97.6,29.9,79.3,29.3,100.0,0.0,82.8,0.0,-,-,89.3,41.1
960,55.0,3.4,100.0,0.0,56.3,6.8,-,-,-,-,-,-,60.9,2.9
961,85.6,37.8,100.0,83.0,74.3,27.2,-,-,39.4,0.0,-,-,87.3,42.8
962,75.0,14.7,79.3,8.7,74.7,15.1,75.9,37.9,-,-,-,-,66.2,19.7
965,67.7,12.1,100.0,64.0,70.0,0.9,100.0,0.0,100.0,0.0,-,-,71.2,25.4
966,95.8,66.7,100.0,66.0,66.1,24.2,-,-,100.0,57.9,-,-,86.4,61.4
968,93.9,72.7,100.0,54.2,95.1,65.7,-,-,100.0,100.0,-,-,100.0,74.7
969,93.1,64.2,89.0,63.2,83.6,42.4,100.0,44.0,100.0,0.0,-,-,92.4,56.7
971,75.7,31.5,100.0,52.8,76.5,27.3,70.4,0.0,-,-,-,-,80.3,25.7
976,85.9,39.3,90.2,37.1,85.9,28.5,72.3,72.3,100.0,61.7,-,-,90.4,37.3
979,93.2,50.2,94.9,58.0,82.0,37.6,100.0,0.0,32.9,0.0,-,-,90.7,48.3
982,86.7,31.2,100.0,100.0,84.3,24.0,-,-,100.0,16.4,-,-,83.0,28.0
983,91.7,32.0,100.0,25.0,88.0,33.5,-,-,43.2,43.2,-,-,86.0,25.4
985,85.9,27.9,88.4,17.9,86.0,30.7,-,-,33.8,13.8,-,-,87.1,24.8
987,89.5,41.9,100.0,76.0,81.4,34.5,70.9,0.0,100.0,0.0,100.0,100.0,85.6,31.1
1001,93.9,34.4,94.0,35.0,95.4,36.1,-,-,96.8,43.9,-,-,29.0,0.0
1002,98.3,76.0,98.7,76.2,95.2,47.8,100.0,0.0,94.8,69.9,100.0,0.0,97.7,77.0
1003,100.0,44.3,100.0,44.9,100.0,0.0,-,-,100.0,66.7,-,-,-,-
1005,94.8,35.0,94.8,35.0,11.8,11.8,-,-,-,-,-,-,-,-
1007,97.7,42.6,97.6,43.0,100.0,59.6,-,-,98.0,88.3,-,-,83.5,63.8
1008,95.0,33.3,94.9,33.5,-,-,0.0,0.0,-,-,-,-,-,-
1009,93.3,38.1,93.3,38.1,-,-,-,-,-,-,-,-,-,-
1010,96.0,38.8,96.0,38.8,100.0,37.1,-,-,100.0,0.0,-,-,100.0,100.0
1011,92.4,19.6,92.4,19.6,-,-,-,-,-,-,-,-,100.0,45.5
1012,93.3,17.8,93.3,17.8,-,-,-,-,-,-,-,-,-,-
1013,88.8,26.5,90.4,26.7,92.7,20.0,100.0,0.0,72.1,35.5,-,-,75.3,11.5
1020,85.7,22.5,87.4,23.8,92.4,20.5,100.0,0.0,81.3,28.2,-,-,89.6,6.8
1022,94.5,25.8,94.5,25.8,100.0,55.0,-,-,100.0,100.0,-,-,100.0,0.0
1026,97.4,54.4,97.4,54.0,100.0,100.0,100.0,0.0,-,-,-,-,100.0,100.0
1027,95.3,40.3,95.2,40.2,78.6,41.7,-,-,64.0,44.4,-,-,82.1,37.2
1028,95.0,43.3,94.9,43.9,97.5,69.3,-,-,81.1,50.0,-,-,96.3,0.0
1029,85.9,35.7,86.2,36.2,-,-,0.0,0.0,-,-,-,-,-,-
1030,97.2,33.1,97.4,33.3,84.5,0.0,-,-,100.0,84.0,-,-,85.0,20.0
1031,91.9,19.4,91.6,20.0,-,-,-,-,-,-,-,-,100.0,0.0
1032,99.2,43.0,99.2,43.0,-,-,-,-,-,-,-,-,100.0,100.0
1033,93.9,38.0,93.8,37.7,78.9,56.7,-,-,100.0,41.9,-,-,-,-
1034,96.6,36.8,96.6,36.7,100.0,100.0,100.0,0.0,100.0,0.0,-,-,-,-
1035,97.0,61.6,96.9,62.4,100.0,0.0,-,-,100.0,42.0,-,-,100.0,100.0
1036,97.7,36.0,97.6,36.2,-,-,70.0,0.0,63.6,63.6,-,-,100.0,46.5
1037,95.2,40.8,95.2,40.8,-,-,-,-,100.0,100.0,-,-,-,-
1038,96.8,54.4,96.8,54.6,-,-,-,-,100.0,76.0,-,-,100.0,40.6
1039,98.9,57.3,98.9,57.4,100.0,50.0,100.0,87.0,-,-,-,-,100.0,100.0
1040,83.7,26.4,91.4,33.0,80.4,14.8,91.0,27.0,88.1,16.8,-,-,64.3,16.3
1050,92.8,29.7,92.8,29.7,100.0,62.5,100.0,57.1,-,-,-,-,100.0,100.0
1053,95.2,49.0,95.1,49.2,97.6,29.1,-,-,0.0,0.0,-,-,92.1,92.1
1054,95.7,63.3,95.7,63.3,44.4,44.4,-,-,100.0,69.8,-,-,100.0,57.1
1056,87.1,25.1,88.0,25.9,85.8,23.6,-,-,100.0,56.8,-,-,97.1,22.0
1057,92.2,28.5,92.3,28.6,100.0,0.0,-,-,63.1,14.9,-,-,100.0,1.8
1060,96.3,73.7,97.2,74.3,85.0,47.8,71.9,18.8,76.1,44.8,-,-,51.5,21.2
1062,95.8,55.5,96.3,55.9,92.5,34.0,100.0,0.0,100.0,71.1,-,-,50.6,17.8
1063,100.0,100.0,100.0,100.0,-,-,-,-,100.0,100.0,-,-,-,-
1066,75.6,10.2,75.6,10.2,-,-,-,-,-,-,-,-,-,-
1068,93.3,40.9,93.5,40.8,100.0,33.3,-,-,-,-,-,-,28.6,28.6
1069,85.1,23.8,88.2,24.3,95.6,70.8,-,-,0.0,0.0,-,-,100.0,0.0
1070,98.1,47.8,98.1,47.8,-,-,100.0,0.0,100.0,100.0,-,-,100.0,100.0
1071,95.6,29.3,95.5,27.6,100.0,4.2,-,-,-,-,-,-,50.0,0.0
1072,98.7,66.3,98.8,67.0,100.0,83.3,-,-,100.0,100.0,-,-,100.0,61.5
1073,96.1,39.2,96.1,39.2,100.0,0.0,-,-,100.0,100.0,-,-,100.0,0.0
1074,87.0,16.2,87.0,16.2,-,-,-,-,-,-,-,-,-,-
1075,95.5,48.3,95.4,48.4,100.0,68.6,-,-,92.2,70.7,-,-,100.0,69.6
1077,97.0,34.4,97.2,34.9,-,-,7.5,0.0,88.2,43.0,-,-,100.0,65.1
1079,100.0,21.7,100.0,21.7,0.0,0.0,-,-,-,-,-,-,100.0,0.0
1080,94.4,16.0,94.3,16.2,74.5,0.0,-,-,0.0,0.0,-,-,0.0,0.0
1081,93.9,28.2,93.8,27.5,77.8,33.3,100.0,0.0,100.0,0.0,100.0,100.0,50.0,0.0
1082,92.1,26.7,92.3,26.8,75.7,0.0,-,-,100.0,100.0,-,-,83.7,55.8
1083,93.3,30.7,93.3,30.7,100.0,100.0,-,-,79.8,42.3,-,-,-,-
1084,95.2,51.2,95.2,51.2,-,-,-,-,-,-,-,-,-,-
1085,92.3,33.3,92.9,34.3,88.5,11.9,100.0,12.5,54.1,26.2,100.0,0.0,68.0,35.4
1088,100.0,24.6,100.0,24.8,-,-,-,-,100.0,0.0,-,-,-,-
1089,92.7,37.0,93.1,37.3,86.9,22.2,100.0,60.3,74.3,50.8,-,-,79.4,27.2
1092,100.0,34.3,100.0,34.3,100.0,100.0,-,-,-,-,-,-,-,-
1093,100.0,39.0,100.0,39.0,-,-,-,-,-,-,-,-,-,-
1094,100.0,15.8,100.0,15.8,-,-,-,-,-,-,-,-,-,-
1095,98.0,54.2,97.9,53.5,100.0,66.7,-,-,49.0,41.3,100.0,0.0,100.0,31.3
1096,97.2,51.2,97.2,50.9,100.0,28.6,100.0,61.5,100.0,100.0,-,-,-,-
1097,100.0,0.0,100.0,0.0,-,-,-,-,-,-,-,-,-,-
1098,96.0,46.7,96.0,46.7,-,-,-,-,-,-,-,-,-,-
1103,86.2,50.2,94.0,61.3,90.9,34.6,100.0,0.0,100.0,100.0,-,-,65.4,36.9
1104,75.2,13.6,83.0,18.4,83.1,18.1,22.2,0.0,71.3,32.5,-,-,78.1,8.7
1105,57.3,8.4,84.9,20.8,81.8,6.7,-,-,100.0,0.0,-,-,57.6,7.2
1106,97.8,63.3,97.8,63.3,87.7,40.6,-,-,80.2,69.5,-,-,100.0,100.0
1107,75.8,25.8,94.3,46.4,82.0,10.5,0.0,0.0,75.9,8.9,-,-,52.2,2.3
1108,85.1,26.5,91.4,32.3,84.3,18.2,3.9,3.9,65.8,10.7,-,-,64.6,12.6
1109,68.3,14.5,91.0,29.5,87.3,21.4,86.6,9.2,80.1,42.1,-,-,73.2,13.4
1118,91.6,32.4,93.7,35.7,96.4,39.7,100.0,0.0,69.5,20.3,-,-,88.2,21.4
1119,88.2,20.3,91.7,25.2,91.5,14.8,100.0,0.0,68.3,24.7,-,-,93.0,28.4
1128,94.1,41.0,96.9,41.4,97.4,14.3,-,-,35.5,15.8,-,-,94.4,22.2
1129,93.5,29.5,93.0,30.9,97.6,27.9,100.0,100.0,100.0,11.0,-,-,97.0,14.8
1144,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1151,82.1,19.2,82.3,20.8,79.8,14.4,-,-,100.0,42.9,-,-,77.3,24.5
1201,93.8,34.6,94.1,35.2,85.1,16.4,11.5,0.0,91.4,66.6,100.0,0.0,79.5,12.6
1220,92.8,24.5,92.7,24.2,35.7,3.6,100.0,0.0,100.0,100.0,-,-,98.1,0.0
1222,79.2,33.1,79.2,33.1,-,-,-,-,-,-,-,-,-,-
1223,96.3,37.7,96.5,38.1,100.0,91.7,50.0,0.0,100.0,100.0,-,-,100.0,0.0
1224,91.1,21.8,91.1,21.8,-,-,-,-,-,-,-,-,-,-
1225,94.9,31.4,94.9,31.5,100.0,100.0,100.0,100.0,51.9,38.0,-,-,-,-
1226,96.4,40.3,96.3,40.3,100.0,73.7,-,-,84.9,41.1,-,-,0.0,0.0
1229,92.3,51.9,92.3,51.9,-,-,-,-,-,-,-,-,-,-
1230,94.3,46.9,94.3,47.5,100.0,0.0,100.0,0.0,66.7,66.7,100.0,100.0,96.6,23.6
1235,89.9,23.0,89.9,23.0,100.0,0.0,100.0,0.0,-,-,100.0,100.0,100.0,0.0
1236,97.5,57.3,97.5,57.3,100.0,0.0,-,-,100.0,73.4,-,-,-,-
1237,95.1,45.3,95.1,45.3,100.0,62.5,-,-,-,-,-,-,100.0,25.0
1238,99.0,46.1,99.0,46.4,0.0,0.0,0.0,0.0,100.0,58.8,-,-,100.0,0.0
1240,94.8,52.9,94.8,52.8,94.2,44.2,100.0,0.0,100.0,0.0,-,-,72.5,31.2
1242,97.6,28.1,97.6,28.1,-,-,-,-,-,-,-,-,-,-
1243,100.0,49.6,100.0,49.6,-,-,100.0,0.0,-,-,-,-,-,-
1244,95.1,26.4,95.1,26.4,-,-,-,-,-,-,-,-,-,-
1245,89.6,57.1,89.4,57.4,-,-,-,-,100.0,100.0,-,-,0.0,0.0
1247,91.1,26.9,91.2,26.9,66.2,13.2,100.0,50.0,34.3,34.3,-,-,55.8,0.0
1253,93.3,41.0,93.3,41.2,-,-,-,-,-,-,-,-,-,-
1254,99.1,60.9,99.1,60.9,100.0,100.0,-,-,100.0,0.0,-,-,-,-
1255,87.7,25.6,87.7,25.6,100.0,100.0,-,-,100.0,100.0,-,-,-,-
1256,89.7,20.9,89.7,20.9,100.0,0.0,100.0,0.0,-,-,-,-,-,-
1257,99.4,36.7,99.3,33.8,-,-,-,-,100.0,100.0,-,-,100.0,100.0
1258,97.5,49.1,97.5,48.4,-,-,-,-,-,-,-,-,-,-
1259,100.0,47.7,100.0,46.8,100.0,100.0,-,-,-,-,-,-,0.0,0.0
1260,100.0,0.0,100.0,0.0,-,-,-,-,-,-,-,-,-,-
1262,96.7,53.8,96.7,53.8,89.6,29.9,100.0,0.0,100.0,100.0,-,-,-,-
1264,98.9,59.4,98.9,59.4,-,-,-,-,-,-,-,-,-,-
1266,96.7,69.4,96.7,69.3,100.0,100.0,57.1,21.4,100.0,100.0,-,-,-,-
1267,97.9,66.6,97.8,66.4,84.0,54.0,100.0,0.0,100.0,84.1,-,-,76.9,61.5
1270,97.2,35.2,97.2,35.2,-,-,-,-,100.0,100.0,-,-,-,-
1301,93.0,36.5,93.4,36.8,71.6,37.2,0.0,0.0,79.0,37.4,-,-,65.7,27.1
1330,96.5,47.6,96.5,47.6,0.0,0.0,-,-,100.0,100.0,-,-,100.0,0.0
1331,91.1,20.3,90.8,20.2,62.7,59.7,100.0,0.0,87.2,39.5,-,-,65.6,0.0
1337,94.5,32.4,94.5,32.5,0.0,0.0,100.0,0.0,100.0,100.0,-,-,100.0,0.0
1338,100.0,40.0,100.0,40.0,-,-,-,-,-,-,-,-,-,-
1339,94.3,36.2,94.3,36.2,-,-,-,-,94.7,0.0,-,-,-,-
1340,93.0,36.0,93.0,35.9,100.0,100.0,-,-,100.0,100.0,-,-,-,-
1341,97.7,57.8,97.6,57.6,-,-,100.0,0.0,100.0,100.0,-,-,100.0,100.0
1342,98.3,53.7,98.3,53.7,51.4,0.0,-,-,-,-,-,-,-,-
1343,85.6,11.9,85.6,11.9,-,-,-,-,-,-,-,-,100.0,0.0
1344,92.4,24.9,92.3,25.0,100.0,12.5,71.4,0.0,-,-,-,-,-,-
1346,96.6,48.5,96.6,48.5,-,-,-,-,100.0,100.0,-,-,-,-
1347,92.8,68.5,92.8,68.5,-,-,-,-,64.7,0.0,-,-,100.0,0.0
1349,98.4,23.0,98.4,23.0,-,-,100.0,100.0,100.0,100.0,-,-,-,-
1350,95.1,16.0,95.1,16.0,-,-,-,-,-,-,-,-,-,-
1351,91.4,43.1,91.4,43.1,100.0,57.1,100.0,100.0,-,-,-,-,-,-
1354,95.2,47.5,95.2,47.5,100.0,0.0,-,-,100.0,100.0,-,-,-,-
1355,97.2,34.0,97.2,34.0,-,-,100.0,0.0,100.0,100.0,-,-,100.0,5.3
1360,93.3,45.3,93.3,45.1,40.0,0.0,-,-,-,-,-,-,19.4,19.4
1364,90.7,17.2,90.5,16.8,100.0,0.0,100.0,63.6,65.4,1.9,-,-,100.0,0.0
1366,96.4,42.9,96.4,43.2,100.0,0.0,-,-,100.0,100.0,100.0,0.0,100.0,100.0
1367,92.1,26.9,92.1,26.9,100.0,0.0,-,-,100.0,0.0,-,-,100.0,7.7
1368,88.7,25.4,88.7,25.4,-,-,-,-,100.0,0.0,-,-,100.0,0.0
1370,95.3,52.5,95.4,52.2,100.0,93.3,-,-,100.0,62.5,-,-,-,-
1373,96.8,43.1,96.7,43.2,100.0,0.0,-,-,-,-,-,-,-,-
1375,99.1,52.1,99.0,51.6,100.0,79.2,-,-,71.4,55.2,-,-,100.0,100.0
1376,94.6,29.7,94.9,30.0,100.0,0.0,-,-,0.0,0.0,-,-,28.4,3.2
1378,96.5,39.8,96.5,39.6,-,-,-,-,100.0,57.1,-,-,-,-
1379,96.6,52.9,96.6,52.9,100.0,17.5,-,-,100.0,100.0,-,-,100.0,0.0
1380,100.0,36.0,100.0,36.0,-,-,-,-,-,-,-,-,-,-
1420,90.8,25.2,93.1,27.4,91.6,37.9,54.8,21.4,76.7,26.8,-,-,66.1,10.7
1430,95.3,37.3,95.1,38.4,100.0,100.0,-,-,100.0,100.0,-,-,-,-
1431,93.4,40.3,93.3,40.0,-,-,-,-,73.3,73.3,-,-,-,-
1432,94.4,44.4,94.4,44.1,92.9,55.6,0.0,0.0,64.2,30.9,-,-,21.2,0.0
1434,87.9,30.7,93.3,36.7,73.8,35.3,43.8,0.0,100.0,32.4,-,-,100.0,84.6
1436,85.0,22.8,84.8,23.0,100.0,0.0,-,-,-,-,-,-,100.0,0.0
1438,93.4,26.3,93.4,26.3,100.0,100.0,-,-,-,-,-,-,-,-
1440,90.6,20.1,90.7,20.0,62.3,26.2,100.0,0.0,69.3,15.2,-,-,94.0,31.2
1450,96.2,63.1,96.9,63.4,32.6,0.0,-,-,94.3,88.4,-,-,82.6,65.2
1451,98.6,74.9,98.6,75.0,-,-,-,-,94.2,82.6,-,-,-,-
1452,95.4,30.1,95.4,30.5,88.7,1.9,100.0,0.0,100.0,100.0,-,-,100.0,100.0
1453,91.0,33.1,92.4,34.0,94.9,34.7,100.0,0.0,90.6,55.7,-,-,86.9,16.9
