ZIP Code,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors
71275,88.3,16.0,91.5,16.6,88.0,31.5,-,-,-,-,-,-,100.0,0.0
71276,100.0,0.0,100.0,0.0,100.0,75.0,-,-,-,-,-,-,-,-
71277,90.0,7.0,90.0,7.0,85.4,0.9,-,-,-,-,-,-,52.6,0.0
71279,100.0,0.0,100.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-
71280,90.5,18.4,90.5,18.4,99.0,11.8,100.0,100.0,100.0,16.7,-,-,30.8,0.0
71282,89.2,22.7,89.7,23.0,67.6,8.5,100.0,100.0,-,-,-,-,100.0,0.0
71286,77.1,7.3,76.5,7.5,100.0,0.0,-,-,-,-,-,-,-,-
71291,94.0,31.8,94.0,31.9,87.6,21.9,25.8,22.5,99.1,42.5,-,-,37.2,14.8
71292,81.8,13.0,81.9,13.2,89.4,24.1,0.0,0.0,100.0,62.8,100.0,0.0,67.8,0.0
71295,81.6,17.2,81.3,17.2,67.4,11.5,0.0,0.0,84.2,57.9,-,-,52.9,0.0
71301,90.9,36.1,91.3,36.8,79.0,11.9,35.4,0.0,68.2,16.4,-,-,57.8,11.2
71302,84.5,22.7,84.2,23.3,81.7,12.0,100.0,0.0,100.0,50.9,-,-,100.0,0.0
71303,90.4,37.3,90.5,37.0,84.6,19.2,91.5,31.9,85.8,61.3,100.0,0.0,100.0,0.0
71316,100.0,70.0,100.0,70.0,-,-,-,-,-,-,-,-,-,-
71320,86.6,41.8,86.6,41.8,-,-,-,-,-,-,-,-,-,-
71322,81.7,15.4,81.6,15.5,70.8,14.9,-,-,-,-,-,-,62.1,0.0
71323,85.2,20.9,85.2,20.9,-,-,-,-,100.0,0.0,-,-,-,-
71325,87.7,13.1,87.7,13.1,89.0,3.7,-,-,-,-,-,-,-,-
71326,81.3,27.2,81.3,27.2,62.7,11.2,-,-,-,-,-,-,-,-
71327,79.9,5.5,80.6,5.7,53.9,2.3,100.0,100.0,44.4,11.1,-,-,0.0,0.0
71328,92.4,14.2,92.4,14.2,-,-,100.0,0.0,-,-,-,-,-,-
71330,100.0,0.0,100.0,0.0,-,-,-,-,-,-,-,-,-,-
71331,74.3,13.5,74.3,13.5,0.0,0.0,-,-,-,-,-,-,-,-
71333,63.8,7.4,63.8,7.4,33.7,1.8,-,-,-,-,-,-,-,-
