ZIP Code,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic
46733,59.3,47.0,37.5,90.0,-,70.0,59.3,1.9,14.3,25.0,0.0,-,30.0,1.9
46737,52.5,-,0.0,75.9,-,90.2,52.2,12.7,-,-,0.0,-,0.0,12.8
46738,60.0,50.0,66.7,75.9,-,0.0,60.3,4.1,0.0,0.0,0.0,-,-,4.3
46740,59.2,0.0,-,-,-,54.9,59.4,2.1,-,-,-,-,0.0,2.1
46741,65.8,100.0,100.0,-,-,-,65.6,1.6,0.0,0.0,-,-,-,1.6
46742,60.3,-,0.0,100.0,-,38.5,60.4,3.0,-,-,0.0,-,0.0,3.0
46743,69.6,-,100.0,-,-,100.0,69.6,5.3,-,0.0,-,-,0.0,5.3
46745,66.7,-,-,-,-,-,66.7,6.1,-,-,-,-,-,6.1
46746,68.8,67.7,50.0,100.0,-,38.7,69.3,4.2,27.6,0.0,0.0,-,0.0,4.4
46747,61.9,0.0,50.0,-,-,100.0,61.8,7.1,-,0.0,-,-,0.0,7.2
46748,75.8,90.8,-,82.7,-,100.0,75.8,0.7,0.0,-,0.0,-,0.0,0.7
46750,60.8,60.0,52.2,63.8,100.0,42.8,60.6,3.7,15.2,20.0,0.0,0.0,12.2,3.7
46755,59.6,-,0.0,55.3,100.0,39.6,59.3,3.6,-,100.0,28.4,0.0,41.5,3.7
46759,78.1,-,-,-,-,-,78.1,5.2,-,-,-,-,-,5.2
46760,56.3,0.0,-,-,-,-,56.3,6.5,-,-,-,-,-,6.5
46761,61.2,41.2,100.0,-,-,45.0,60.9,3.1,0.0,0.0,-,-,16.3,3.2
46763,60.6,-,-,100.0,-,-,60.6,2.8,-,-,0.0,-,-,2.8
46764,56.9,25.0,60.0,92.9,-,7.7,57.0,4.1,0.0,0.0,0.0,-,0.0,4.2
46765,65.3,0.0,-,100.0,-,100.0,65.3,1.9,-,-,0.0,-,0.0,1.9
46766,72.4,-,-,-,-,-,72.2,0.0,-,-,-,-,-,0.0
46767,67.1,0.0,94.7,51.4,-,64.2,65.3,2.0,100.0,0.0,0.0,-,0.0,0.6
46770,55.6,0.0,-,100.0,-,53.2,55.6,3.9,-,-,0.0,-,0.0,3.9
46771,64.5,-,-,-,-,-,64.5,0.0,-,-,-,-,-,0.0
46772,61.0,100.0,-,-,-,100.0,61.0,5.9,0.0,-,-,-,0.0,6.0
46773,63.7,-,-,-,-,-,63.3,2.6,-,-,-,-,-,2.6
46774,63.2,70.2,86.4,68.6,-,93.1,62.7,3.1,8.0,0.0,0.0,-,0.0,3.2
46776,59.4,100.0,0.0,-,-,89.4,59.2,1.5,0.0,-,-,-,0.0,1.6
46777,62.9,100.0,-,-,-,-,62.9,0.7,0.0,-,-,-,-,0.7
46778,39.5,-,-,-,-,-,39.5,0.0,-,-,-,-,-,0.0
46779,50.4,-,-,-,-,57.9,50.4,16.3,-,-,-,-,0.0,16.3
46781,58.3,-,0.0,-,-,-,58.1,1.1,-,-,-,-,-,1.1
46783,64.4,85.7,100.0,100.0,-,60.0,64.2,2.0,0.0,0.0,0.0,-,0.0,2.0
46784,58.7,100.0,-,-,-,0.0,58.6,3.5,0.0,-,-,-,-,3.6
46785,56.7,-,0.0,-,-,42.9,56.5,9.5,-,-,-,-,40.0,9.5
46786,37.8,-,-,-,-,-,37.8,0.0,-,-,-,-,-,0.0
46787,59.0,-,36.4,100.0,-,-,59.0,4.7,-,0.0,0.0,-,-,4.7
46788,57.6,-,-,-,-,-,57.9,1.7,-,-,-,-,-,1.7
46789,60.2,-,-,-,-,-,60.2,0.0,-,-,-,-,-,0.0
46791,82.3,-,-,-,-,-,82.3,0.7,-,-,-,-,-,0.7
46792,59.2,0.0,100.0,0.0,-,100.0,59.2,1.3,-,0.0,-,-,0.0,1.3
46793,61.2,0.0,-,100.0,-,71.8,61.6,4.4,-,-,0.0,-,0.0,3.5
46794,54.0,0.0,100.0,-,-,-,53.8,5.3,100.0,0.0,-,-,-,5.4
46795,58.7,-,0.0,-,-,100.0,58.6,2.3,-,100.0,-,-,0.0,2.3
46796,0.0,-,-,-,-,-,0.0,-,-,-,-,-,-,-
46797,73.2,0.0,-,0.0,-,68.8,73.2,1.2,-,-,-,-,12.0,1.2
46798,78.4,-,-,-,-,-,78.4,4.1,-,-,-,-,-,4.1
46799,58.7,-,100.0,-,-,-,58.7,0.0,-,0.0,-,-,-,0.0
46802,57.3,57.1,11.8,71.8,100.0,54.9,56.4,10.4,2.5,0.0,0.0,0.0,0.0,10.8
46803,61.8,45.7,52.7,52.2,100.0,55.9,58.2,4.6,21.6,15.5,33.6,0.0,2.2,5.7
46804,64.1,70.8,56.8,68.1,100.0,40.2,63.5,3.0,7.7,0.0,2.6,0.0,0.0,3.1
46805,61.5,57.6,76.5,67.0,0.0,88.4,60.2,5.0,15.5,0.0,0.0,-,2.7,5.2
46806,56.8,49.2,91.3,54.5,-,70.5,55.5,11.7,15.5,0.0,10.6,-,11.6,13.4
46807,67.5,59.8,95.0,65.6,-,62.8,67.2,3.7,7.8,0.0,14.7,-,9.7,3.9
46808,66.7,67.4,70.3,51.8,-,76.2,66.2,4.1,1.3,29.7,0.0,-,3.2,4.2
46809,66.9,74.1,72.2,67.9,100.0,42.5,66.6,3.0,19.2,0.0,0.0,0.0,0.0,2.9
46814,63.6,80.5,-,72.7,-,31.9,63.5,5.1,14.0,-,0.0,-,0.0,5.2
46815,61.5,53.8,75.0,49.4,-,81.0,61.3,5.9,20.0,25.0,0.0,-,0.0,6.0
46816,59.7,49.8,0.0,53.7,0.0,41.8,59.4,5.0,11.6,-,5.1,-,0.0,3.7
46818,68.3,48.4,67.9,76.5,88.2,51.5,68.2,2.4,4.6,0.0,0.0,0.0,3.7,1.9
46819,60.5,61.3,61.9,100.0,-,60.0,60.4,7.2,14.2,0.0,0.0,-,11.7,7.0
46825,65.7,63.8,11.7,59.8,100.0,79.7,65.7,2.7,12.2,58.8,5.6,0.0,4.0,2.6
46835,64.7,63.6,60.6,75.3,0.0,89.2,64.6,3.1,4.1,0.0,0.0,-,1.3,3.1
46845,65.1,78.8,24.2,76.5,100.0,73.7,64.7,1.7,5.5,0.0,0.0,0.0,0.0,1.7
46901,54.5,47.3,68.1,68.0,-,85.1,54.6,6.3,16.4,0.0,0.0,-,0.0,6.3
46902,56.1,60.7,70.9,55.0,0.0,21.1,55.5,3.5,10.7,0.0,14.1,-,20.0,3.6
46910,61.9,100.0,100.0,-,-,66.1,61.5,4.4,0.0,0.0,-,-,16.7,4.1
46911,64.5,57.1,100.0,-,-,-,64.3,0.6,42.9,0.0,-,-,-,0.6
46913,62.3,-,-,-,-,-,62.7,2.6,-,-,-,-,-,2.7
46914,42.7,0.9,50.0,4.9,-,0.0,41.4,2.2,85.7,0.0,0.0,-,-,2.4
46915,60.9,-,-,-,-,-,61.2,3.3,-,-,-,-,-,3.3
46917,63.4,100.0,-,-,-,22.6,63.4,0.3,0.0,-,-,-,0.0,0.3
46919,53.5,0.0,0.0,0.0,-,-,52.5,1.2,-,-,-,-,-,1.2
46920,64.9,-,-,-,-,100.0,64.9,1.7,-,-,-,-,0.0,1.7
46922,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46923,54.9,0.0,100.0,100.0,-,70.5,54.6,3.1,-,0.0,0.0,-,0.0,3.3
46926,61.3,-,100.0,-,-,-,61.3,2.6,-,0.0,-,-,-,2.6
46928,57.9,100.0,100.0,-,-,-,58.2,3.6,0.0,0.0,-,-,-,3.6
46929,59.7,73.4,-,-,-,100.0,60.4,3.2,0.0,-,-,-,0.0,3.2
46930,48.2,-,-,-,-,-,48.2,0.0,-,-,-,-,-,0.0
46931,33.3,-,-,-,-,100.0,33.3,7.6,-,-,-,-,0.0,7.6
46932,60.6,100.0,7.1,-,-,90.0,60.4,6.2,0.0,0.0,-,-,0.0,6.3
46933,51.5,95.2,-,16.1,-,93.3,51.6,10.5,0.0,-,52.4,-,0.0,10.5
46936,63.9,0.0,0.0,100.0,-,100.0,64.1,3.1,-,-,0.0,-,0.0,3.1
46937,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-
46938,56.9,0.0,-,-,-,57.1,56.9,3.9,-,-,-,-,0.0,3.9
46939,49.0,89.0,-,0.0,-,0.0,49.1,8.8,0.0,-,-,-,-,8.8
46940,51.2,0.0,0.0,100.0,-,100.0,51.9,3.5,-,-,0.0,-,0.0,3.5
46941,54.4,-,62.5,-,-,0.0,54.4,7.3,-,31.8,-,-,-,7.3
46943,67.8,-,100.0,-,-,-,67.8,0.0,-,0.0,-,-,-,0.0
46945,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46946,69.2,-,-,-,-,-,69.2,0.0,-,-,-,-,-,0.0
46947,59.0,36.8,70.4,77.0,-,70.0,58.1,4.1,0.0,0.0,0.0,-,3.5,4.3
46950,45.8,-,-,-,-,-,45.8,0.0,-,-,-,-,-,0.0
46951,56.7,0.0,0.0,50.0,-,-,56.7,4.6,-,-,0.0,-,-,4.6
46952,53.7,56.2,29.2,41.6,-,89.6,53.2,6.5,26.8,0.0,7.7,-,0.0,6.7
46953,54.3,37.6,52.8,58.8,-,53.0,54.4,8.9,16.7,0.0,0.0,-,5.6,8.3
46957,56.0,-,-,-,-,-,56.0,1.0,-,-,-,-,-,1.0
46958,51.6,-,-,-,-,-,51.6,0.0,-,-,-,-,-,0.0
46959,37.2,-,-,-,-,-,37.2,0.0,-,-,-,-,-,0.0
46960,61.0,-,-,100.0,-,100.0,60.5,0.9,-,-,0.0,-,0.0,1.0
46961,0.0,-,-,-,-,-,0.0,-,-,-,-,-,-,-
46962,55.1,74.6,-,0.0,100.0,45.7,54.7,3.3,0.0,-,-,0.0,0.0,3.4
46965,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46967,60.7,-,-,100.0,-,-,60.7,4.2,-,-,0.0,-,-,4.2
46968,41.7,-,-,-,-,-,41.7,0.0,-,-,-,-,-,0.0
46970,52.7,47.2,72.6,23.1,-,61.6,52.8,5.7,0.0,0.0,0.0,-,0.0,5.2
46971,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46974,56.6,0.0,100.0,100.0,100.0,-,56.7,4.6,-,0.0,0.0,0.0,-,4.6
46975,54.6,50.7,37.5,0.0,-,74.6,54.8,6.5,0.0,0.0,-,-,0.0,6.1
46978,66.9,-,-,-,-,76.2,66.9,2.5,-,-,-,-,0.0,2.5
46979,57.4,0.0,-,70.0,-,84.6,57.0,9.0,-,-,0.0,-,0.0,9.1
46980,81.4,-,-,-,-,-,81.4,0.0,-,-,-,-,-,0.0
46982,55.5,100.0,-,-,-,100.0,55.6,2.7,0.0,-,-,-,0.0,2.7
46984,100.0,-,-,-,-,-,100.0,0.0,-,-,-,-,-,0.0
46985,50.8,-,0.0,-,-,-,50.8,3.9,-,100.0,-,-,-,3.9
46986,61.5,100.0,-,100.0,-,0.0,61.4,2.2,0.0,-,0.0,-,-,2.2
46987,59.2,-,-,100.0,-,-,59.2,3.7,-,-,0.0,-,-,3.7
46988,52.2,-,-,-,-,100.0,52.2,9.8,-,-,-,-,0.0,9.8
46989,60.0,29.1,100.0,76.0,-,73.1,60.0,2.3,0.0,0.0,0.0,-,0.0,2.3
46990,42.1,-,-,-,-,-,42.1,16.0,-,-,-,-,-,16.0
46991,59.0,-,0.0,-,-,-,58.7,6.9,-,-,-,-,-,7.0
46992,58.0,5.9,100.0,37.9,-,77.8,57.9,3.7,0.0,0.0,0.0,-,0.0,3.7
46994,52.6,-,-,100.0,-,66.7,52.4,1.9,-,-,0.0,-,0.0,0.4
46996,58.2,50.0,-,0.0,100.0,95.7,58.3,3.0,0.0,-,-,0.0,0.0,3.0
46998,50.8,-,-,-,-,0.0,50.8,31.6,-,-,-,-,-,31.6
47001,69.3,70.6,-,86.4,0.0,30.8,69.3,1.2,29.4,-,0.0,100.0,0.0,1.2
47003,66.9,-,-,0.0,-,-,67.9,6.1,-,-,-,-,-,6.3
47006,67.6,100.0,-,18.4,-,47.9,68.0,2.3,0.0,-,0.0,-,0.0,2.3
47010,7.9,-,-,-,-,-,7.9,0.0,-,-,-,-,-,0.0
47011,60.3,-,-,-,-,-,60.3,0.0,-,-,-,-,-,0.0
47012,63.7,0.0,-,0.0,-,54.1,63.6,1.9,-,-,-,-,0.0,1.9
47016,52.0,-,-,-,-,-,52.0,1.9,-,-,-,-,-,1.9
47017,64.8,-,-,-,-,-,64.8,2.0,-,-,-,-,-,2.0
47018,55.3,77.6,-,0.0,-,100.0,54.9,4.1,0.0,-,-,-,0.0,4.2
47020,68.6,-,-,-,-,-,68.6,0.0,-,-,-,-,-,0.0
47021,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47022,62.5,-,-,0.0,-,100.0,62.5,3.3,-,-,-,-,0.0,3.3
47023,65.2,0.0,-,-,-,-,64.8,1.6,-,-,-,-,-,1.6
47024,62.2,100.0,-,-,-,0.0,61.9,3.0,0.0,-,-,-,-,3.1
47025,62.7,43.6,0.0,100.0,-,53.1,63.1,1.1,0.0,-,0.0,-,0.0,1.1
47030,60.4,-,-,-,-,-,60.4,3.3,-,-,-,-,-,3.3
47031,59.8,0.0,-,61.4,-,-,59.7,4.5,-,-,0.0,-,-,4.5
47032,57.3,-,-,100.0,-,-,57.4,0.9,-,-,0.0,-,-,0.9
47033,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47034,59.2,-,-,-,-,-,59.2,2.6,-,-,-,-,-,2.6
47035,58.3,-,-,-,-,-,58.3,0.0,-,-,-,-,-,0.0
47036,51.7,-,-,42.5,-,-,52.6,8.8,-,-,0.0,-,-,8.8
47037,66.1,0.0,-,-,-,81.5,66.1,3.5,-,-,-,-,0.0,3.5
47038,40.7,-,-,-,-,-,40.5,15.8,-,-,-,-,-,15.9
47040,57.9,44.4,100.0,100.0,-,0.0,57.8,1.0,55.6,0.0,0.0,-,-,1.0
47041,66.4,-,-,33.3,-,0.0,66.1,2.2,-,-,0.0,-,-,2.2
47042,62.8,0.0,-,100.0,-,2.0,62.8,5.2,-,-,0.0,-,0.0,5.2
47043,54.3,0.0,73.3,100.0,0.0,-,54.4,5.8,-,0.0,0.0,-,-,5.8
47060,61.5,100.0,-,40.7,-,100.0,61.3,4.0,0.0,-,0.0,-,0.0,4.1
47102,56.9,-,0.0,-,-,100.0,56.7,2.6,-,-,-,-,0.0,2.7
47104,0.0,-,-,-,-,-,0.0,-,-,-,-,-,-,-
47106,65.5,100.0,-,-,-,16.4,65.4,3.5,0.0,-,-,-,0.0,3.5
47108,51.4,100.0,-,-,-,68.8,51.4,4.5,0.0,-,-,-,0.0,4.5
47110,63.5,-,-,-,-,-,63.5,0.6,-,-,-,-,-,0.6
47111,67.0,60.1,100.0,85.7,-,73.8,67.1,2.2,0.0,0.0,0.0,-,0.0,1.8
47112,55.2,43.1,-,100.0,-,100.0,54.6,4.4,12.3,-,0.0,-,0.0,4.5
47114,50.7,100.0,-,-,-,-,50.7,2.2,0.0,-,-,-,-,2.2
47115,59.8,-,-,68.4,-,-,59.8,8.9,-,-,0.0,-,-,9.0
47116,37.4,0.0,-,-,-,-,37.4,0.0,100.0,-,-,-,-,0.0
47117,57.6,100.0,-,59.1,-,80.0,57.6,1.4,0.0,-,0.0,-,0.0,1.4
47118,47.5,100.0,-,-,-,100.0,47.5,2.0,0.0,-,-,-,0.0,2.0
47119,67.1,100.0,-,100.0,-,100.0,67.3,3.2,0.0,-,0.0,-,0.0,3.2
47120,74.1,-,-,-,-,-,74.1,0.0,-,-,-,-,-,0.0
47122,65.2,98.2,100.0,100.0,-,68.0,65.1,3.7,0.0,0.0,0.0,-,0.0,3.6
47123,58.8,-,-,-,-,-,58.8,0.0,-,-,-,-,-,0.0
47124,63.9,72.2,-,20.6,-,-,63.9,1.8,0.0,-,0.0,-,-,1.8
47125,58.2,-,-,-,-,-,58.2,1.1,-,-,-,-,-,1.1
47126,61.3,0.0,-,-,-,-,61.2,2.8,-,-,-,-,-,2.9
47129,60.0,71.7,64.3,50.0,-,90.1,57.4,4.2,15.6,0.0,0.0,-,0.0,4.2
47130,61.3,66.8,68.7,75.5,100.0,54.4,60.9,3.8,3.2,0.0,0.0,0.0,10.3,3.7
47135,49.1,0.0,-,-,-,-,48.9,5.4,-,-,-,-,-,5.4
47136,67.4,66.7,-,22.9,-,45.2,67.4,2.6,0.0,-,8.3,-,0.0,2.6
47137,42.0,0.0,-,-,-,0.0,42.0,3.3,-,-,-,-,100.0,3.3
47138,65.5,-,0.0,100.0,-,0.0,65.5,3.7,-,-,0.0,-,-,3.7
47140,55.3,-,-,74.1,-,0.0,55.3,3.3,-,-,0.0,-,-,3.3
47141,70.7,-,-,-,-,-,69.2,3.9,-,-,-,-,-,4.2
47142,63.7,-,-,-,-,-,63.7,5.4,-,-,-,-,-,5.4
47143,78.3,0.0,-,-,-,-,78.3,0.2,100.0,-,-,-,-,0.2
47145,53.8,77.3,-,-,-,-,53.8,1.8,0.0,-,-,-,-,1.8
47147,69.0,-,-,-,-,-,67.8,0.0,-,-,-,-,-,0.0
47150,58.8,51.8,65.7,95.9,100.0,79.8,58.7,4.3,1.7,0.0,2.8,0.0,5.2,4.4
47160,64.3,0.0,-,-,-,-,64.3,12.2,100.0,-,-,-,-,12.2
47161,60.5,0.0,-,-,-,0.0,61.0,5.2,-,-,-,-,-,5.2
47162,58.5,-,-,-,-,-,58.5,0.0,-,-,-,-,-,0.0
47163,43.5,-,-,-,-,-,43.5,4.9,-,-,-,-,-,4.9
47164,54.5,0.0,-,0.0,-,33.3,54.5,2.4,-,-,-,-,0.0,2.4
47165,58.9,73.7,-,100.0,-,0.0,58.8,6.8,0.0,-,0.0,-,-,6.1
47166,62.6,-,0.0,-,-,-,60.2,1.5,-,-,-,-,-,1.7
47167,57.2,0.0,100.0,100.0,-,79.2,57.2,3.8,-,0.0,0.0,-,0.0,3.8
47170,50.5,0.0,70.2,-,-,41.7,50.3,6.6,-,29.8,-,-,0.0,6.7
47172,62.4,53.9,0.0,70.5,-,77.9,62.0,4.7,0.0,-,0.0,-,0.0,4.8
47174,100.0,-,-,-,-,-,100.0,0.0,-,-,-,-,-,0.0
47175,61.4,-,-,-,-,-,61.4,5.2,-,-,-,-,-,5.2
47177,50.0,0.0,-,-,-,100.0,49.4,1.7,-,-,-,-,0.0,1.7
47201,61.2,66.8,100.0,75.8,-,79.6,60.4,4.1,2.2,0.0,1.8,-,2.6,4.2
47203,58.4,49.0,13.3,75.6,-,54.0,59.2,2.5,4.1,0.0,0.0,-,34.3,2.5
