STATE,COUNTYNAME,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,County,State,MUAP_counts
South Carolina,Abbeville County,85.65384615384616,18.953846153846154,86.10769230769232,18.884615384615383,82.42307692307692,14.538461538461538,66.33333333333333,18.416666666666668,99.11666666666667,55.76666666666667,,,71.76666666666667,30.400000000000002,48.06923076923077,53.12307692307692,28.066666666666666,39.785714285714285,,57.33,47.95384615384615,6.023076923076923,5.507692307692308,33.333333333333336,2.3,,7.762499999999999,6.038461538461538,73231.0,8127.0,28247.0,2707.0,607.0,0.0,119.0,42.0,0.0,0.0,539.0,184.0,Abbeville County,South Carolina,2.0
Louisiana,Acadia Parish,82.9,15.28125,83.275,15.25625,69.94166666666666,7.983333333333333,76.47999999999999,20.759999999999998,87.5,50.0,100.0,0.0,75.61,26.3,52.2,43.13076923076923,60.449999999999996,54.08,0.0,58.260000000000005,52.25,8.8625,10.441666666666666,16.666666666666668,9.866666666666667,,12.857142857142858,8.95625,97042.0,7380.0,24554.0,2973.0,110.0,0.0,401.0,34.0,12.0,0.0,874.0,463.0,Acadia Parish,Louisiana,1.0
Virginia,Accomack County,89.36999999999999,26.976666666666667,89.76333333333334,27.486666666666668,56.39090909090908,6.304545454545454,75.0,16.675,89.7090909090909,39.50909090909091,,,68.01,10.0,44.54666666666667,61.6,75.0,39.57272727272727,,80.25,44.263333333333335,4.371428571428572,5.914285714285715,0.0,12.5,,0.0,4.457142857142857,20342.0,2461.0,9408.0,1390.0,322.0,0.0,81.0,4.0,0.0,0.0,259.0,66.0,Accomack County,Virginia,1.0
Idaho,Ada County,95.4470588235294,40.65294117647059,96.01764705882353,41.11764705882353,84.87333333333332,23.346666666666668,85.79375,26.1125,91.30625,60.25625,98.52727272727272,27.354545454545452,80.63529411764705,29.341176470588238,63.51176470588236,56.77058823529412,57.8,66.1375,50.083333333333336,68.49411764705883,63.2235294117647,3.511764705882353,9.358823529411765,6.86875,2.05,15.02222222222222,5.6117647058823525,3.511764705882353,420674.0,32402.0,5925.0,850.0,11786.0,744.0,2390.0,466.0,711.0,424.0,10459.0,2366.0,Ada County,Idaho,15.0
Iowa,Adair County,95.33571428571429,19.157142857142855,95.53571428571429,19.12857142857143,71.12,36.5,50.0,0.0,71.72,37.1,,,90.66,19.54,63.800000000000004,55.720000000000006,0.0,86.47999999999999,100.0,58.15,63.83571428571429,4.55,12.9,,0.0,0.0,20.0,4.371428571428571,27794.0,1543.0,184.0,16.0,215.0,0.0,1.0,11.0,7.0,0.0,128.0,21.0,Adair County,Iowa,3.0
Kentucky,Adair County,83.83636363636364,15.3,83.86363636363636,15.227272727272727,84.42,6.1,73.85,2.45,75.0,33.325,100.0,0.0,40.300000000000004,6.966666666666666,51.40909090909091,22.22,23.525,60.3,0.0,85.56666666666666,51.41818181818182,7.427272727272728,35.58,0.0,0.0,100.0,0.0,7.345454545454545,51773.0,3868.0,731.0,19.0,89.0,27.0,149.0,0.0,50.0,8.0,252.0,161.0,Adair County,Kentucky,2.0
Missouri,Adair County,90.53333333333333,18.0,90.6888888888889,18.288888888888888,99.575,6.2,91.675,35.175,98.85000000000001,63.666666666666664,50.0,50.0,100.0,0.0,47.58888888888889,56.7,35.925,45.9,50.0,50.0,48.62222222222223,4.588888888888889,0.0,0.0,0.0,0.0,0.0,4.611111111111111,24562.0,2337.0,799.0,169.0,552.0,46.0,72.0,0.0,8.0,0.0,9.0,32.0,,,
Oklahoma,Adair County,87.14999999999999,17.083333333333332,87.64999999999999,17.216666666666665,100.0,0.0,85.06666666666666,7.883333333333333,83.9,26.660000000000004,100.0,0.0,69.45,1.875,43.31666666666666,49.25,44.98333333333333,72.97999999999999,100.0,54.1,43.03333333333333,5.583333333333333,23.23333333333333,5.316666666666666,0.0,0.0,1.425,5.616666666666667,8275.0,1607.0,91.0,4.0,172.0,73.0,6438.0,3453.0,12.0,5.0,639.0,169.0,Adair County,Oklahoma,8.0
Colorado,Adams County,87.48648648648648,32.913513513513514,95.10833333333333,38.33888888888889,91.8,33.11176470588235,84.37714285714286,16.454285714285714,84.71212121212122,43.733333333333334,79.38695652173914,37.53913043478261,70.99444444444445,15.055555555555555,68.86486486486487,68.30285714285714,76.33055555555556,68.87272727272727,74.72500000000001,65.56944444444444,67.88055555555555,3.6972972972972977,5.55,2.8833333333333333,2.890909090909091,0.9523809523809523,5.405555555555555,3.572222222222222,578823.0,51073.0,52946.0,6009.0,36344.0,2387.0,7937.0,1256.0,1367.0,303.0,61099.0,17820.0,Adams County,Colorado,37.0
Idaho,Adams County,92.41666666666667,22.566666666666666,92.48333333333333,22.916666666666668,100.0,100.0,100.0,0.0,,,,,7.6,0.0,41.13333333333333,0.0,33.333333333333336,100.0,,92.4,41.43333333333333,6.2,,0.0,0.0,,0.0,6.3,10362.0,1351.0,6.0,0.0,1.0,0.0,57.0,0.0,0.0,0.0,1.0,48.0,Adams County,Idaho,9.0
Illinois,Adams County,93.48695652173912,21.62608695652174,93.5086956521739,21.565217391304348,73.06,3.22,69.03333333333333,0.0,59.51666666666667,15.066666666666668,100.0,25.0,77.77777777777777,27.288888888888888,62.873913043478254,64.64999999999999,44.43333333333334,72.42857142857143,50.0,63.733333333333334,62.88695652173914,4.321739130434783,2.2,0.0,16.2,0.0,8.157142857142857,4.3130434782608695,62965.0,3140.0,2384.0,112.0,424.0,7.0,51.0,0.0,111.0,0.0,132.0,17.0,Adams County,Illinois,11.0
Indiana,Adams County,87.41,16.009999999999998,87.28,16.14,93.75,10.15,100.0,3.15,100.0,66.65,,,61.375,2.85,62.58,22.22,8.35,91.65,,72.725,62.67,2.7,53.833333333333336,25.0,0.0,,7.5,2.7199999999999998,51940.0,8904.0,415.0,87.0,142.0,0.0,19.0,0.0,0.0,0.0,693.0,44.0,Adams County,Indiana,1.0
Iowa,Adams County,92.11,16.45,92.38,16.57,100.0,0.0,100.0,25.0,100.0,66.65,,,77.6,10.66,56.42,60.25,50.0,50.0,100.0,33.166666666666664,56.17,2.7199999999999998,25.8,25.0,0.0,0.0,25.0,2.75,15670.0,1199.0,16.0,20.0,83.0,5.0,29.0,0.0,7.0,0.0,260.0,22.0,Adams County,Iowa,2.0
Mississippi,Adams County,84.95,16.049999999999997,84.65,16.9,77.75,14.6,100.0,0.0,80.5,49.6,,,12.6,0.0,44.35,42.6,0.0,61.8,,17.0,44.95,9.05,7.1499999999999995,100.0,0.0,,0.0,4.1,10441.0,1828.0,13980.0,2413.0,108.0,73.0,1.0,20.0,0.0,0.0,648.0,0.0,Adams County,Mississippi,1.0
Nebraska,Adams County,95.2,20.685714285714287,96.0,20.985714285714288,94.5,0.0,81.08333333333333,6.95,63.275,51.225,77.8,0.0,51.42857142857143,17.857142857142858,64.36428571428571,50.0,45.333333333333336,93.325,45.23333333333333,66.0375,64.25,3.764285714285714,0.0,20.0,0.0,0.0,2.6285714285714286,3.814285714285714,31957.0,1859.0,195.0,14.0,405.0,0.0,108.0,5.0,25.0,27.0,793.0,286.0,Adams County,Nebraska,1.0
North Dakota,Adams County,90.82000000000001,18.06,91.03999999999999,18.119999999999997,100.0,0.0,100.0,50.0,55.6,0.0,100.0,0.0,47.4,0.0,58.9,42.1,76.2,100.0,0.0,100.0,58.94,0.76,0.0,0.0,0.0,,0.0,0.76,3376.0,346.0,38.0,0.0,51.0,0.0,9.0,1.0,2.0,0.0,33.0,0.0,Adams County,North Dakota,1.0
Ohio,Adams County,75.15833333333333,11.658333333333333,75.2,11.641666666666666,98.38,13.34,77.76666666666667,0.0,100.0,73.86666666666667,100.0,0.0,100.0,33.333333333333336,44.949999999999996,25.95,65.76666666666667,68.06666666666666,100.0,66.66666666666667,44.86666666666667,5.0636363636363635,31.525,1.35,0.0,0.0,0.0,5.036363636363636,32079.0,3194.0,125.0,1.0,125.0,13.0,124.0,2.0,19.0,0.0,82.0,8.0,Adams County,Ohio,1.0
Pennsylvania,Adams County,89.53333333333333,23.27777777777778,90.50555555555555,23.644444444444442,88.58461538461538,26.476923076923075,90.96666666666665,34.11666666666667,72.88333333333334,32.074999999999996,50.0,0.0,56.74666666666667,12.793333333333333,62.09444444444445,57.559999999999995,70.95714285714286,55.5,25.0,67.61176470588236,62.0,3.3499999999999996,1.9153846153846152,1.2666666666666666,3.809090909090909,66.66666666666667,2.425,2.9722222222222223,156247.0,8743.0,3193.0,129.0,1621.0,144.0,383.0,50.0,131.0,0.0,2467.0,381.0,Adams County,Pennsylvania,1.0
South Dakota,Adams County,92.1,20.4,92.1,20.4,,,17.9,0.0,,,,,12.5,0.0,63.4,,28.6,,,37.5,63.4,2.4,,33.3,,,0.0,2.4,1490.0,175.0,0.0,0.0,0.0,0.0,76.0,6.0,0.0,0.0,8.0,0.0,,,
Washington,Adams County,90.75833333333333,19.825,93.25833333333333,21.40833333333333,91.89999999999999,1.4333333333333333,75.68571428571428,8.928571428571429,65.55714285714285,24.857142857142858,100.0,0.0,45.98333333333333,4.733333333333333,51.300000000000004,51.14,22.5625,38.542857142857144,50.0,46.11666666666667,49.925000000000004,3.858333333333333,0.0,0.925,20.516666666666666,0.0,6.225,3.3166666666666664,17816.0,1890.0,55.0,18.0,197.0,33.0,263.0,289.0,85.0,0.0,7239.0,2756.0,Adams County,Washington,1.0
Wisconsin,Adams County,89.28,14.013333333333332,89.87333333333332,14.306666666666667,91.24545454545455,6.918181818181818,70.76666666666667,6.566666666666666,89.89999999999999,37.518181818181816,100.0,50.0,59.970000000000006,4.92,51.76,49.6,41.49166666666667,60.09090909090909,100.0,69.9,51.94666666666667,4.88,13.19090909090909,2.388888888888889,7.277777777777778,0.0,5.67,4.86,66547.0,3622.0,525.0,76.0,999.0,39.0,287.0,152.0,8.0,0.0,767.0,363.0,Adams County,Wisconsin,1.0
Vermont,Addison County,93.9590909090909,39.404545454545456,94.0,39.481818181818184,97.4125,7.95,96.4125,43.725,98.4235294117647,73.48823529411764,100.0,0.0,94.35714285714286,23.47142857142857,66.05,71.3625,37.3375,59.141176470588235,100.0,48.3875,66.03636363636363,3.8545454545454545,9.450000000000001,0.0,0.375,0.0,2.9166666666666665,3.877272727272727,52303.0,2509.0,425.0,67.0,892.0,18.0,87.0,2.0,29.0,0.0,234.0,35.0,Addison County,Vermont,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adjuntas Municipio,Puerto Rico,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aguada Municipio,Puerto Rico,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aguadilla Municipio,Puerto Rico,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aguas Buenas Municipio,Puerto Rico,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aibonito Municipio,Puerto Rico,1.0
South Carolina,Aiken County,87.38695652173914,20.48695652173913,88.24782608695652,20.817391304347826,78.75909090909092,13.909090909090908,80.35384615384615,20.03076923076923,93.7909090909091,49.16363636363636,,,52.6375,2.7625,52.16956521739131,46.64782608695653,34.146153846153844,61.72727272727273,,46.98125,52.00434782608695,6.091304347826087,10.286363636363637,10.985714285714286,0.175,,0.7454545454545454,5.947826086956522,121045.0,12891.0,46929.0,5096.0,1701.0,70.0,239.0,14.0,0.0,0.0,1391.0,492.0,Aiken County,South Carolina,47.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ailinginae,Marshall Islands,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ailinglaplap,Marshall Islands,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ailuk,Marshall Islands,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aimeliik State,Republic of Palau,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Airai State,Republic of Palau,1.0
Minnesota,Aitkin County,92.83571428571429,17.121428571428574,92.92142857142858,17.15714285714286,81.2375,6.1625,77.05833333333334,10.716666666666667,96.0,53.75,100.0,100.0,88.88888888888889,14.488888888888889,46.457142857142856,35.577777777777776,42.25833333333333,77.49,100.0,41.27777777777778,46.41428571428571,6.028571428571429,16.666666666666668,8.41,0.0,0.0,0.0,6.1000000000000005,25879.0,1607.0,208.0,11.0,94.0,7.0,589.0,49.0,4.0,0.0,125.0,9.0,Aitkin County,Minnesota,1.0
Florida,Alachua County,88.012,35.24,91.928,35.536,84.22916666666667,16.04583333333333,81.30666666666666,23.253333333333334,78.10000000000001,47.694736842105264,100.0,13.86,94.24444444444445,26.75,48.136,48.65,29.275,53.970000000000006,81.51428571428572,53.355555555555554,48.5,5.165217391304347,9.330434782608695,19.330000000000002,5.761111111111111,0.0,7.1312500000000005,5.039130434782609,192577.0,17804.0,52436.0,6025.0,15545.0,1121.0,654.0,137.0,101.0,44.0,4404.0,774.0,Alachua County,Florida,1.0
North Carolina,Alamance County,91.25,23.178571428571427,92.65714285714286,23.807142857142857,86.96363636363637,17.12727272727273,89.36666666666666,33.63333333333333,78.86666666666666,39.644444444444446,66.66666666666667,12.700000000000001,57.063636363636355,10.700000000000001,63.91428571428571,60.190909090909095,55.03333333333333,55.52,79.36666666666666,72.02727272727272,63.19285714285714,2.8428571428571425,7.6,2.1625,13.65,0.0,4.663636363636364,2.914285714285714,139474.0,14361.0,37729.0,3460.0,3225.0,203.0,527.0,191.0,43.0,3.0,8815.0,5737.0,Alamance County,North Carolina,3.0
California,Alameda County,93.47454545454546,54.483636363636364,96.0909090909091,57.32363636363637,93.33333333333333,39.83518518518518,83.37735849056604,20.733962264150946,89.80363636363636,61.158181818181816,86.84705882352941,26.89411764705882,75.96851851851852,29.33703703703704,62.78545454545454,57.79272727272727,54.96851851851852,61.650909090909096,58.7811320754717,65.02363636363637,61.40181818181818,5.307272727272727,7.09074074074074,8.923076923076923,4.781818181818182,7.685714285714286,6.034545454545454,5.323636363636364,640857.0,20761.0,166008.0,8860.0,589008.0,16548.0,12167.0,1142.0,13305.0,861.0,184938.0,21358.0,Alameda County,California,171.0
Colorado,Alamosa County,88.08333333333333,29.75,94.64999999999999,35.63333333333333,91.23333333333333,17.599999999999998,46.849999999999994,9.9,94.575,45.2,,,66.94,7.8,59.916666666666664,74.06666666666666,50.525,48.225,0.0,57.44000000000001,59.199999999999996,6.0,0.0,2.8000000000000003,2.966666666666667,,7.1,4.7,17954.0,2255.0,289.0,143.0,202.0,14.0,648.0,153.0,39.0,0.0,1537.0,575.0,Alamosa County,Colorado,1.0
New York,Albany County,94.16304347826087,36.74782608695652,94.58695652173913,36.797826086956526,88.8775,21.3625,70.32857142857144,22.07857142857143,80.86774193548388,54.97741935483871,81.52857142857144,14.285714285714286,77.64666666666668,32.07333333333334,61.66956521739131,53.015,59.8,69.95151515151515,40.32222222222222,59.809374999999996,61.38913043478261,3.3782608695652177,6.640000000000001,8.333333333333334,4.3545454545454545,25.14,12.600000000000001,3.369565217391304,302402.0,7829.0,43542.0,2507.0,26585.0,746.0,407.0,33.0,218.0,17.0,8158.0,482.0,Albany County,New York,46.0
Wyoming,Albany County,95.90833333333335,48.65,96.25833333333333,49.43333333333334,66.73333333333333,63.23333333333333,89.72,39.32,96.93333333333334,58.96666666666667,100.0,100.0,96.775,16.575000000000003,50.74166666666667,61.366666666666674,38.06666666666666,82.2,50.0,26.625,50.333333333333336,6.336363636363637,32.43333333333333,0.26666666666666666,2.1,0.0,2.2333333333333334,6.336363636363637,35420.0,3356.0,328.0,41.0,1424.0,37.0,210.0,35.0,86.0,0.0,410.0,88.0,Albany County,Wyoming,1.0
Virginia,Albemarle County,90.8,47.26666666666667,91.09166666666665,47.770833333333336,83.89565217391304,22.139130434782608,63.972727272727276,6.509090909090909,92.78125,57.38125,100.0,100.0,64.04285714285714,20.47142857142857,58.612500000000004,50.09130434782608,51.625,66.9,100.0,62.09375,58.4125,5.241666666666667,9.454545454545455,0.0,3.7285714285714286,0.0,1.1785714285714286,5.1000000000000005,143695.0,8014.0,19837.0,2021.0,9236.0,685.0,416.0,61.0,82.0,0.0,2127.0,775.0,Albemarle County,Virginia,17.0
Michigan,Alcona County,88.98333333333333,16.525000000000002,88.91666666666667,16.650000000000002,75.82000000000001,4.24,74.36666666666666,5.866666666666666,70.11666666666666,59.15,100.0,0.0,91.93333333333334,7.166666666666667,38.38333333333333,16.666666666666668,40.56666666666667,71.95,0.0,35.266666666666666,38.425000000000004,7.358333333333333,50.0,20.0,0.0,,0.0,6.916666666666667,19732.0,1047.0,78.0,3.0,113.0,0.0,67.0,52.0,25.0,4.0,73.0,4.0,Alcona County,Michigan,1.0
Mississippi,Alcorn County,79.88,14.459999999999999,79.9,14.440000000000001,60.325,10.425,66.66666666666667,0.0,94.925,8.9,,,91.3,0.0,50.739999999999995,37.575,68.43333333333334,44.925,,83.23333333333333,50.760000000000005,6.68,28.275,0.0,0.0,,0.0,6.68,29835.0,3815.0,2917.0,716.0,121.0,37.0,116.0,18.0,44.0,0.0,479.0,74.0,Alcorn County,Mississippi,1.0
Alaska,Aleutians East Borough,95.9,51.1,96.76,49.8,100.0,3.233333333333333,78.94,2.12,90.9,35.975,100.0,0.0,74.8,8.325,74.97999999999999,83.33333333333333,61.260000000000005,94.175,100.0,100.0,77.74,0.6799999999999999,0.0,7.88,0.0,0.0,0.0,0.74,408.0,86.0,29.0,40.0,488.0,224.0,742.0,763.0,5.0,6.0,120.0,100.0,Aleutians East Borough,Alaska,1.0
Alaska,Aleutians West Census Area,95.575,26.9,95.5,27.875,100.0,0.0,93.54285714285713,4.2,89.775,6.675,100.0,3.55,51.13333333333333,2.466666666666667,90.275,92.2,67.62857142857142,63.425,76.15,98.06666666666666,90.05,1.5,0.0,1.4714285714285713,4.166666666666667,0.0,0.39999999999999997,1.625,920.0,184.0,31.0,129.0,2017.0,389.0,374.0,156.0,71.0,16.0,243.0,44.0,Aleutians West Census Area,Alaska,1.0
Illinois,Alexander County,87.04285714285713,13.928571428571429,87.10000000000001,12.871428571428572,91.23333333333333,8.950000000000001,50.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,46.285714285714285,34.71666666666667,13.8,0.0,100.0,100.0,45.971428571428575,5.8999999999999995,25.333333333333332,0.0,,0.0,0.0,5.585714285714286,6552.0,436.0,1706.0,230.0,10.0,0.0,33.0,0.0,22.0,0.0,2.0,0.0,Alexander County,Illinois,1.0
North Carolina,Alexander County,85.725,19.3375,86.5375,19.6375,86.6375,13.962499999999999,55.85,27.125,95.0,59.04,100.0,50.0,54.6,4.8,56.724999999999994,54.050000000000004,56.9,70.46000000000001,100.0,67.71666666666665,56.3125,4.9125,6.6499999999999995,14.925,4.2,0.0,0.48333333333333334,5.0,112260.0,11963.0,8955.0,1796.0,3603.0,389.0,375.0,145.0,62.0,0.0,3882.0,1266.0,Alexander County,North Carolina,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alexandria City,Virginia,2.0
Virginia,Alexandria city,95.075,74.775,98.6375,80.55,91.1875,43.85,83.17142857142858,51.457142857142856,92.875,69.625,100.0,45.46666666666667,70.5,33.3375,74.8375,70.9625,65.32857142857144,71.0,47.28,83.7375,74.3,2.275,5.775,0.78,4.2,0.0,4.225,2.175,108292.0,6095.0,36603.0,5533.0,13309.0,1441.0,450.0,210.0,61.0,0.0,6485.0,3494.0,,,
Oklahoma,Alfalfa County,91.96666666666667,31.58888888888889,91.97777777777777,31.766666666666666,72.36666666666666,8.633333333333333,79.21666666666667,6.5,100.0,50.0,0.0,0.0,65.475,5.475,56.31111111111111,32.699999999999996,48.949999999999996,34.8,0.0,60.8,55.94444444444444,2.2333333333333334,0.0,17.5,0.0,,0.0,2.1666666666666665,9247.0,923.0,256.0,31.0,55.0,0.0,102.0,7.0,0.0,0.0,114.0,27.0,Alfalfa County,Oklahoma,1.0
Michigan,Alger County,92.73076923076923,18.392307692307693,92.76923076923077,18.4,95.8,22.86,83.4375,7.25,100.0,25.0,100.0,50.0,100.0,60.425,41.0,36.5,35.825,35.0,50.0,57.82000000000001,41.00769230769231,7.407692307692309,41.675,1.3833333333333335,0.0,50.0,6.25,7.376923076923077,11268.0,625.0,47.0,6.0,54.0,5.0,389.0,49.0,1.0,1.0,68.0,0.0,Alger County,Michigan,1.0
Iowa,Allamakee County,92.38,19.98,93.47,20.16,72.775,45.4,90.325,45.6,94.1,49.3,,,97.025,8.25,65.28,48.474999999999994,80.8,79.26,,55.900000000000006,65.28999999999999,2.7299999999999995,12.533333333333333,0.925,2.8,,14.933333333333332,2.7,27074.0,1254.0,361.0,0.0,240.0,0.0,128.0,46.0,1.0,0.0,215.0,47.0,Allamakee County,Iowa,4.0
Michigan,Allegan County,92.66799999999999,30.02,93.44,30.392,87.82941176470588,19.523529411764706,77.06363636363636,17.84090909090909,81.65,39.355000000000004,50.0,50.0,69.685,16.155,57.56399999999999,66.67894736842106,53.039130434782614,48.275,50.0,64.79047619047618,57.308,3.65,7.4263157894736835,2.9941176470588236,10.89375,0.0,2.4699999999999998,3.704166666666667,260440.0,10927.0,5173.0,561.0,5969.0,256.0,980.0,126.0,38.0,0.0,5501.0,927.0,Allegan County,Michigan,1.0
Maryland,Allegany County,91.01764705882353,12.235294117647058,91.03529411764706,12.18235294117647,65.83333333333333,5.411111111111111,81.625,30.15,85.0,65.14,100.0,50.0,92.71666666666665,21.733333333333334,46.588235294117645,24.93,49.5,56.08,83.35,80.16666666666667,46.57647058823529,9.86875,20.3,0.0,8.2,0.0,0.0,9.85625,61804.0,2578.0,1935.0,128.0,565.0,73.0,65.0,0.0,4.0,0.0,181.0,12.0,Allegany County,Maryland,58.0
New York,Allegany County,89.31351351351351,19.894594594594594,89.38378378378378,19.89189189189189,87.00714285714285,38.464285714285715,80.0,8.75,92.86315789473684,45.10526315789474,,,79.27333333333333,15.22,51.63243243243244,64.13333333333334,35.40833333333333,73.22631578947369,50.0,46.873333333333335,51.71081081081081,8.464864864864865,1.123076923076923,12.5,2.5647058823529414,0.0,6.908333333333334,8.456756756756755,74203.0,4022.0,1016.0,70.0,404.0,31.0,151.0,6.0,21.0,0.0,617.0,17.0,Allegany County,New York,7.0
North Carolina,Alleghany County,86.125,20.825,87.025,21.175,78.10000000000001,12.133333333333333,81.8,0.0,72.5,27.5,,,75.0,0.0,58.5625,31.366666666666664,53.400000000000006,50.0,,100.0,58.2,3.9125,0.0,0.0,0.0,,0.0,4.1625,10614.0,1329.0,142.0,11.0,31.0,18.0,56.0,7.0,2.0,0.0,8.0,15.0,Alleghany County,North Carolina,1.0
Virginia,Alleghany County,85.58571428571429,11.185714285714285,85.54285714285713,11.142857142857142,84.54285714285713,19.82857142857143,,,94.85,87.05,,,100.0,0.0,44.57142857142857,64.92857142857143,,80.10000000000001,,100.0,44.457142857142856,4.714285714285714,2.185714285714286,,0.0,,0.0,4.685714285714285,21125.0,1418.0,1411.0,247.0,85.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,Alleghany County,Virginia,2.0
Pennsylvania,Allegheny County,93.96000000000001,37.343333333333334,93.99,37.37583333333334,90.29245283018868,26.659433962264153,91.06041666666665,24.474999999999998,89.21485148514853,61.214851485148515,100.0,34.33684210526316,81.78433734939759,38.94698795180723,60.53666666666666,57.339622641509436,28.4875,67.79901960784314,53.05789473684211,62.09518072289156,60.2425,4.7327731092436975,9.673267326732674,30.421621621621618,3.6180000000000003,7.6923076923076925,10.238961038961039,4.70672268907563,1178292.0,39581.0,154008.0,10971.0,49302.0,2971.0,1342.0,59.0,478.0,0.0,9866.0,1326.0,Allegheny County,Pennsylvania,130.0
Indiana,Allen County,91.1735294117647,26.370588235294118,91.86176470588236,26.81764705882353,87.11538461538461,19.342307692307692,83.41304347826087,7.57391304347826,65.436,32.9,100.0,25.433333333333334,66.35600000000001,17.752,63.74411764705883,52.146153846153844,59.18260869565218,60.611999999999995,83.33333333333333,67.06923076923077,63.311764705882354,3.623529411764706,10.443478260869567,12.423809523809522,4.130434782608695,0.0,6.176923076923076,3.679411764705882,337072.0,25204.0,38732.0,3791.0,15229.0,2217.0,588.0,150.0,149.0,19.0,8164.0,2594.0,Allen County,Indiana,56.0
Kansas,Allen County,91.25384615384615,16.3,91.33076923076922,16.43076923076923,86.28571428571429,29.928571428571427,100.0,22.25,60.0,20.0,50.0,0.0,88.15,3.3,60.06153846153846,29.857142857142858,51.05,83.15714285714286,91.23333333333333,50.15,60.176923076923075,5.338461538461539,17.25,0.0,0.0,0.0,12.5,5.261538461538462,21743.0,2014.0,379.0,26.0,121.0,10.0,88.0,15.0,77.0,0.0,58.0,11.0,Allen County,Kansas,12.0
Kentucky,Allen County,84.85000000000001,19.866666666666667,85.03333333333335,20.083333333333332,89.425,13.275,100.0,0.0,93.46666666666665,76.43333333333334,,,100.0,43.8,55.38333333333333,18.55,0.0,88.76666666666667,,78.25,55.18333333333334,5.016666666666667,27.733333333333334,,0.0,,0.0,4.966666666666666,37615.0,3168.0,1729.0,151.0,159.0,18.0,10.0,0.0,0.0,0.0,83.0,64.0,Allen County,Kentucky,3.0
Ohio,Allen County,92.42272727272727,18.063636363636363,92.38181818181819,18.12272727272727,80.73333333333333,19.133333333333333,96.3,14.63,67.37777777777778,52.65555555555555,100.0,25.0,72.74666666666667,15.593333333333334,60.345454545454544,55.523529411764706,53.11,51.64545454545455,75.0,59.84117647058824,60.10909090909092,4.931818181818182,13.725,6.328571428571428,0.0,0.0,13.413333333333332,4.995454545454546,122764.0,6919.0,10275.0,965.0,954.0,59.0,254.0,34.0,20.0,0.0,1703.0,240.0,Allen County,Ohio,15.0
Louisiana,Allen Parish,80.67333333333333,13.386666666666667,80.83333333333333,13.506666666666666,67.2875,12.174999999999999,63.24285714285714,0.0,84.14999999999999,43.666666666666664,100.0,100.0,46.15,0.0,46.513333333333335,46.36666666666667,10.274999999999999,55.68333333333334,100.0,25.0,47.04666666666666,9.813333333333333,4.0,0.85,19.259999999999998,0.0,0.0,9.860000000000001,25204.0,2599.0,3971.0,113.0,267.0,117.0,321.0,218.0,54.0,0.0,115.0,17.0,Allen Parish,Louisiana,1.0
South Carolina,Allendale County,88.08333333333333,20.816666666666666,88.39999999999999,20.816666666666666,66.61666666666667,3.766666666666667,66.66666666666667,33.333333333333336,100.0,66.66666666666667,100.0,0.0,89.16666666666667,24.433333333333334,33.81666666666667,37.81666666666667,33.333333333333336,60.5,77.8,86.93333333333334,33.916666666666664,6.566666666666666,25.5,0.0,0.0,0.0,0.0,6.566666666666666,6790.0,575.0,8776.0,1388.0,73.0,0.0,32.0,0.0,9.0,0.0,207.0,73.0,Allendale County,South Carolina,1.0
