STATE,COUNTYNAME,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,County,State,MUAP_counts
South Carolina,Richland County,94.84166666666665,43.300000000000004,94.94583333333333,43.42916666666667,86.04166666666667,23.245833333333334,57.9,11.270588235294117,90.5,58.44761904761905,74.41111111111111,11.11111111111111,73.29444444444444,25.83888888888889,50.152,54.724,30.142105263157898,55.99090909090909,23.481818181818184,57.973684210526315,50.184,6.341666666666666,7.845833333333334,28.508333333333336,2.0149999999999997,33.333333333333336,7.433333333333334,6.354166666666667,224059.0,14537.0,191081.0,23799.0,11784.0,1272.0,632.0,159.0,429.0,13.0,8054.0,2808.0,Richland County,South Carolina,39.0
Wisconsin,Richland County,90.44375,17.075,90.44375,17.1875,61.709090909090904,9.536363636363637,86.375,10.7125,91.35833333333333,20.783333333333335,50.0,0.0,86.39230769230768,33.91538461538461,53.275,49.06923076923077,46.233333333333334,63.09166666666667,100.0,65.08666666666666,53.39375,2.42,0.0,0.0,0.0,0.0,0.0,2.4,37385.0,4611.0,142.0,13.0,227.0,17.0,42.0,14.0,4.0,0.0,322.0,208.0,,,
Louisiana,Richland Parish,79.58571428571429,15.342857142857143,79.42857142857143,15.542857142857143,72.39999999999999,6.3,66.66666666666667,0.0,66.66666666666667,0.0,,,22.666666666666668,17.333333333333332,50.128571428571426,32.53333333333333,25.933333333333334,30.233333333333334,,57.13333333333333,50.4,4.628571428571428,21.883333333333336,0.0,0.0,,0.0,3.742857142857143,15680.0,1669.0,8013.0,803.0,39.0,40.0,25.0,0.0,0.0,0.0,180.0,0.0,Richland Parish,Louisiana,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richmond City,Virginia,1.0
Georgia,Richmond County,88.25,25.369999999999997,89.31,25.43,85.81,20.130000000000003,90.55,20.075,90.625,50.4625,75.0,3.575,88.5,28.56666666666667,44.05,44.6,42.2875,38.45,68.175,51.0,43.29,5.529999999999999,8.122222222222222,2.983333333333333,8.6375,0.0,14.399999999999999,6.35,109622.0,15552.0,112001.0,15320.0,6440.0,775.0,541.0,30.0,100.0,37.0,4148.0,751.0,Richmond County,Georgia,26.0
New York,Richmond County,90.03333333333335,35.30833333333333,92.625,37.71666666666666,87.125,30.075,74.41818181818182,33.75454545454546,77.79166666666667,37.449999999999996,87.95,25.0,79.68333333333334,20.991666666666664,56.625,56.074999999999996,60.96363636363637,59.76666666666667,60.0,57.875,55.84166666666667,4.333333333333333,6.718181818181819,2.772727272727273,5.625,0.0,8.733333333333333,4.158333333333333,327869.0,11519.0,47083.0,1948.0,48408.0,2690.0,1336.0,82.0,121.0,69.0,17981.0,1996.0,Richmond County,New York,5.0
North Carolina,Richmond County,83.48181818181818,15.954545454545455,85.10000000000001,16.145454545454545,78.01,17.3,71.51,11.959999999999999,78.825,23.55,0.0,0.0,61.075,2.6,44.40909090909091,47.87,39.92,45.67999999999999,81.0,66.5375,43.76363636363636,10.972727272727273,7.970000000000001,26.2,0.0,0.0,3.9,11.163636363636364,32179.0,3716.0,15520.0,1733.0,752.0,55.0,1822.0,166.0,8.0,13.0,1050.0,357.0,Richmond County,North Carolina,1.0
Virginia,Richmond County,88.3625,21.9625,88.025,21.9375,74.54285714285713,10.671428571428573,66.66666666666667,28.866666666666664,100.0,70.3,100.0,0.0,56.96666666666666,7.333333333333333,34.775,39.5,28.866666666666664,80.56666666666666,0.0,21.233333333333334,34.975,4.183333333333334,11.016666666666666,0.0,0.0,,50.0,4.25,13982.0,825.0,6469.0,629.0,106.0,12.0,30.0,0.0,0.0,0.0,401.0,113.0,Richmond County,Virginia,1.0
Virginia,Richmond city,93.52941176470588,59.1764705882353,95.15294117647058,60.07647058823529,86.5421052631579,24.810526315789474,83.60833333333333,33.574999999999996,86.2125,58.76875,66.66666666666667,0.0,74.04375,20.65625,63.59473684210526,58.084210526315786,70.88333333333334,60.715789473684204,50.0,65.55000000000001,63.10526315789474,5.1000000000000005,9.23157894736842,7.533333333333334,3.642105263157895,33.333333333333336,4.711764705882352,5.294736842105263,209308.0,18037.0,178136.0,17485.0,13489.0,1375.0,752.0,97.0,95.0,9.0,10346.0,7636.0,,,
Kansas,Riley County,95.65833333333335,31.208333333333332,96.26666666666667,31.816666666666666,96.58333333333333,18.916666666666668,99.47142857142856,5.328571428571428,88.36666666666666,56.62222222222223,100.0,2.8,78.81666666666666,10.933333333333335,54.50769230769231,60.52857142857143,43.337500000000006,66.03,33.333333333333336,57.82857142857143,54.29230769230769,4.576923076923077,9.757142857142858,0.0,2.7777777777777777,0.0,16.01666666666667,4.515384615384615,67424.0,3694.0,4711.0,202.0,3113.0,278.0,356.0,268.0,85.0,42.0,1322.0,58.0,Riley County,Kansas,1.0
