hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,ZIP Code
5320,69,11,0,1,0,0,0,0,0,57,5,53104
26834,880,118,5,244,2,14,0,0,0,396,72,53105
2635,46,34,0,17,0,0,0,5,0,11,0,53108
14776,460,549,0,420,17,69,0,0,0,165,6,53110
1781,165,16,0,7,0,3,0,0,0,114,30,53114
12927,489,105,19,77,0,22,0,2,0,518,237,53115
6423,275,8,0,114,0,0,0,16,10,16,0,53118
5239,95,9,12,5,0,3,0,0,0,55,0,53119
10195,255,75,0,48,0,0,0,0,0,30,0,53120
16051,604,129,0,68,0,44,0,0,0,374,37,53121
5666,40,196,8,249,0,0,0,0,0,24,0,53122
1584,53,0,0,9,13,0,0,0,0,6,0,53125
6043,239,48,0,0,0,7,0,0,0,13,13,53126
124,0,0,0,0,0,0,0,0,0,0,0,53127
7610,508,2,0,21,0,35,34,0,0,335,0,53128
11647,251,248,0,835,42,64,11,0,0,637,35,53129
6445,197,43,9,238,19,0,0,0,0,256,0,53130
29342,608,417,91,1792,211,158,10,57,23,827,40,53132
1335,34,4,2,6,0,0,0,0,0,8,0,53137
2008,50,0,0,10,0,11,0,0,0,7,0,53139
19961,1846,2704,307,426,10,218,0,12,0,888,198,53140
25011,1112,1925,17,1062,77,111,0,0,0,736,35,53142
13971,642,2394,263,252,0,52,2,68,0,545,84,53143
17154,1332,2414,170,795,0,125,7,0,0,1010,248,53144
7095,238,175,0,86,0,0,0,0,0,10,0,53146
14551,1048,116,0,155,4,40,0,17,0,507,309,53147
17445,490,91,17,154,216,31,25,0,0,64,56,53149
24204,330,148,24,232,65,29,0,21,0,140,14,53150
27508,912,322,0,1938,77,49,0,0,0,299,13,53151
2646,40,0,0,11,0,0,0,0,0,0,0,53153
28187,910,1042,130,1997,176,49,0,0,0,832,116,53154
3089,156,9,0,13,0,0,0,0,0,26,39,53156
0,0,0,0,0,0,0,0,0,0,0,0,53157
14196,638,332,9,316,44,60,0,0,17,643,58,53158
286,17,0,0,0,0,0,0,0,0,0,0,53167
8465,356,0,0,58,0,34,0,0,0,81,4,53168
1845,75,46,0,0,0,0,0,0,0,25,0,53170
16995,580,370,84,164,0,280,54,0,0,355,90,53172
145,0,0,0,0,0,0,0,0,0,0,0,53176
5486,215,98,0,126,0,43,0,0,0,41,18,53177
2581,105,0,0,11,0,2,0,0,0,2,0,53178
5585,446,14,0,0,0,0,0,0,0,182,0,53179
7333,166,50,0,3,0,2,0,0,0,9,12,53181
7353,213,389,7,36,4,5,0,0,0,99,0,53182
2899,66,3,0,57,0,20,0,0,0,4,0,53183
3286,177,13,0,5,13,18,0,0,0,273,9,53184
16660,539,43,12,121,53,74,0,0,0,233,9,53185
27319,1362,713,103,899,125,185,10,0,0,832,39,53186
27534,1678,1152,43,910,42,45,28,0,0,371,116,53188
23394,343,404,0,607,30,17,0,0,0,459,127,53189
16516,1003,707,100,460,26,66,0,0,0,281,43,53190
2853,184,0,0,13,0,0,0,0,0,158,0,53191
96,33,0,0,0,0,0,0,0,0,0,0,53192
112,0,0,0,0,0,0,0,0,0,0,0,53195
18823,959,1830,163,1410,97,225,30,0,0,502,295,53202
1494,75,236,53,50,0,0,0,0,0,39,0,53203
10467,2688,3637,414,1076,235,364,60,0,0,7231,3112,53204
572,31,6443,589,555,29,21,15,0,0,153,59,53205
480,23,17181,1503,123,41,15,0,6,0,336,25,53206
27532,1176,925,177,598,22,80,3,3,0,1247,419,53207
9454,636,10464,1109,2786,135,77,20,2,0,961,192,53208
10718,323,28583,2301,874,85,109,67,0,0,676,237,53209
4426,236,15735,1241,350,5,80,18,0,0,314,0,53210
27430,1141,1194,141,1881,116,94,8,0,0,405,38,53211
9871,769,13638,1073,225,39,166,50,3,0,890,125,53212
21900,448,1282,171,1025,103,76,0,9,0,357,0,53213
24013,1719,2421,384,758,76,193,102,15,0,1597,241,53214
19393,3175,3096,497,2539,133,663,116,4,0,10561,3238,53215
2957,10,23928,1681,802,97,32,9,7,0,448,0,53216
23639,354,1880,78,1659,24,0,0,0,0,511,25,53217
4324,332,28049,2047,3393,254,155,53,18,11,1255,61,53218
23534,918,1504,173,1147,7,252,21,10,0,2373,834,53219
17476,822,1114,116,1680,46,139,14,3,5,2313,157,53220
23535,1663,2454,29,2786,371,193,0,0,0,2641,563,53221
12959,382,7215,608,405,67,65,0,5,0,394,0,53222
8248,430,15381,550,1435,138,0,0,0,0,385,68,53223
4230,231,11692,927,2502,127,62,0,0,0,260,167,53224
6522,316,13637,1066,1236,170,137,0,77,0,640,76,53225
14660,353,1086,14,977,97,154,58,0,0,150,18,53226
16872,552,1066,178,839,96,271,20,0,0,933,51,53227
12149,343,301,42,516,0,15,0,0,0,680,39,53228
6287,332,3253,317,753,81,52,0,0,0,394,86,53233
7320,243,666,10,123,12,45,0,0,0,593,0,53235
69,0,27,0,0,0,9,0,0,0,0,0,53295
25860,1122,3149,184,590,61,84,0,133,0,871,107,53402
12286,908,7270,341,271,0,97,5,0,0,1561,486,53403
6353,727,2540,143,78,0,71,10,0,0,526,63,53404
18188,1054,3180,221,265,15,51,2,0,0,766,166,53405
19196,895,2286,128,580,112,88,34,14,0,433,112,53406
163,0,0,0,0,0,86,0,0,0,0,0,53501
