hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,ZIP Code
13532,603,330,17,3,20,10,4,0,0,987,129,601
17532,929,523,23,48,0,18,29,0,0,1414,57,602
33813,1985,1595,90,28,0,32,0,0,0,6115,531,603
3639,82,8,1,0,0,0,0,0,0,1545,14,606
10615,531,550,9,0,0,0,0,0,0,1435,191,610
699,66,14,0,0,0,0,0,0,0,440,38,611
21881,1608,1656,115,546,14,36,0,0,0,15675,1011,612
3270,233,590,36,125,22,0,0,0,0,2125,169,616
8108,377,715,38,360,0,38,0,0,0,3964,378,617
3301,97,263,149,0,0,0,0,0,0,2581,128,622
15776,564,1705,85,187,19,177,0,0,0,14527,1023,623
15386,647,562,30,25,0,0,0,0,0,3700,112,624
25190,1429,389,145,0,0,43,0,0,0,3359,58,627
1319,58,8,0,0,0,0,0,0,0,32,0,631
603,0,0,0,0,0,0,0,0,0,385,0,636
14048,639,123,0,11,0,79,0,0,0,5074,235,637
8768,246,522,70,69,8,247,0,0,0,1242,144,638
11309,605,304,9,19,0,0,0,0,0,9804,762,641
14894,1071,2109,148,0,0,10,0,0,0,1992,320,646
2249,88,249,38,4,0,0,0,0,0,1808,85,647
5901,342,77,0,186,0,0,0,0,0,2223,173,650
1520,70,74,0,26,23,20,18,0,0,432,39,652
5415,249,425,1,0,0,15,0,0,0,2238,32,653
13438,447,342,0,64,18,32,0,0,0,2651,169,656
26537,2235,1210,0,0,0,84,0,0,0,3554,46,659
3053,122,375,6,0,0,0,0,0,0,10671,358,660
20900,1457,2826,314,35,0,51,0,0,0,9298,599,662
7686,359,500,56,0,0,0,0,0,0,5390,401,664
9545,360,516,94,0,0,0,0,0,0,9644,638,667
22112,1772,611,10,0,0,15,0,0,0,1720,112,669
4843,25,192,5,0,0,0,0,0,0,2888,164,670
14816,1461,967,59,98,16,26,0,0,0,4601,745,674
26895,1125,1594,107,0,0,111,0,0,0,3767,247,676
5794,225,317,19,0,0,0,0,0,0,679,42,677
16579,765,842,51,0,0,79,0,0,0,3377,214,678
6787,412,913,56,33,0,20,0,0,0,30722,1073,680
4446,389,817,30,0,5,5,0,0,0,21518,752,682
18289,620,274,65,8,0,0,0,34,0,7042,713,683
27798,1380,1052,70,21,0,25,0,0,0,5809,452,685
11883,611,1067,111,0,0,0,0,0,0,2564,345,687
2696,326,144,0,111,0,0,0,0,0,5413,598,688
3860,160,172,32,0,0,0,0,0,0,465,33,690
10520,490,2108,128,0,0,0,0,0,0,7547,668,692
19676,2712,2609,103,0,0,0,0,0,0,8627,1085,693
0,0,0,0,0,0,0,0,0,0,25,0,694
23330,1324,858,51,0,0,28,0,0,0,4870,176,698
9594,340,1576,74,0,0,352,0,0,0,4402,161,703
1740,307,1209,128,0,0,0,0,0,0,580,0,704
8171,455,2231,110,0,0,131,0,0,0,1243,14,705
926,40,3581,259,0,0,0,0,0,0,4708,296,707
8085,337,2910,181,0,0,0,0,0,0,1947,91,714
779,22,173,3,0,0,0,0,0,0,232,0,715
14435,739,1560,93,20,0,41,0,0,0,2294,111,716
7608,327,811,97,0,16,91,0,0,0,1500,103,717
7132,737,375,27,23,0,0,0,0,0,12616,844,718
12764,832,2226,59,0,1,0,0,0,0,1220,199,719
9174,505,940,88,0,0,54,0,0,0,2610,165,720
984,64,5157,412,0,0,0,0,0,0,8374,322,723
40000,2685,6311,439,155,15,235,23,0,0,14708,858,725
27530,1547,4576,355,256,0,102,0,0,0,10271,527,727
21222,1189,2182,124,44,0,33,0,0,0,3917,288,728
12753,1162,5874,913,148,171,37,0,0,0,15959,2328,729
14201,1018,1304,167,0,0,7,0,0,0,1983,68,730
5026,446,622,26,0,0,0,0,0,0,407,0,731
2890,76,616,20,54,0,42,0,0,0,5483,499,735
16736,1107,3739,377,0,71,275,0,0,0,9099,411,736
8524,607,1852,162,47,0,16,0,0,0,9029,777,738
13262,512,3744,195,30,0,197,0,0,0,7514,875,739
639,41,88,0,0,0,0,0,0,0,788,11,740
592,59,324,45,0,0,0,0,0,0,2198,199,741
11818,1096,5248,336,169,0,130,0,0,0,14511,1180,745
4962,430,3239,338,0,0,35,9,0,0,934,84,751
4160,295,9419,873,76,36,0,0,0,0,18520,1165,754
4986,690,2963,172,28,0,29,0,0,0,674,0,757
1631,182,579,0,16,0,0,0,0,0,4510,724,765
8413,292,1787,98,0,0,16,0,0,0,2773,89,766
2361,98,10722,680,10,0,0,0,0,0,15109,781,767
10402,257,4333,169,0,0,9,0,0,0,1066,248,769
3708,234,10809,587,31,0,23,0,0,0,17382,1211,771
1500,95,6535,407,13,0,0,0,0,0,7273,635,772
4466,401,1055,235,48,0,0,0,0,0,5820,589,773
302,40,27,4,0,9,0,0,0,0,663,96,775
11361,1027,7726,548,0,0,75,0,0,0,9297,987,777
15718,1242,3897,651,70,30,129,0,0,0,10994,897,778
5483,363,885,89,0,0,0,0,0,0,828,111,780
8698,319,1280,243,0,0,0,0,0,0,1540,1,782
14641,1272,2198,84,0,0,0,0,0,0,4938,330,783
18401,967,3297,141,0,0,19,0,140,0,3555,152,784
66,0,67,0,0,0,0,0,0,0,0,0,786
10262,516,5293,361,150,85,83,0,0,0,26588,1129,791
14607,373,1945,73,0,0,15,0,0,0,2044,57,794
9572,813,2366,134,0,0,5,0,0,0,2343,162,795
3150,256,435,126,0,0,0,0,7,0,1029,59,901
131,0,0,0,0,0,0,0,0,0,0,0,906
6768,426,1284,142,81,88,46,0,0,0,3175,333,907
1549,158,520,60,15,0,70,0,0,0,1489,255,909
2632,302,389,104,156,110,6,27,0,0,1439,186,911
1435,175,507,139,66,0,13,0,19,0,2195,308,912
1859,95,249,46,66,0,25,0,0,0,3692,281,913
3697,229,2761,742,12,0,32,13,15,0,11469,2726,915
6255,877,1201,291,65,0,17,0,22,0,5691,730,917
5868,266,725,57,43,0,31,0,24,0,3172,245,918
6228,807,2571,617,0,0,57,0,0,0,2868,420,920
11990,920,4698,386,11,0,63,0,0,0,5762,481,921
7089,701,2936,464,33,8,49,14,0,0,8393,938,923
19297,1934,7311,1146,9,0,60,15,0,0,9011,1083,924
1803,432,464,375,23,20,35,0,0,0,1164,228,925
42473,2534,8210,581,47,83,117,19,0,0,12484,1288,926
7259,246,700,10,70,0,71,0,0,0,1281,100,927
59,0,25,34,0,0,0,0,0,0,0,0,934
26338,1682,4227,486,20,0,261,0,0,0,21317,990,949
0,0,0,0,0,0,0,0,0,0,0,0,950
71,0,87,1,0,0,0,0,0,0,86,0,951
2222,381,1310,91,0,0,11,0,0,0,2909,275,952
32122,1948,3215,326,117,0,0,0,0,0,10601,431,953
21269,1911,3803,308,31,0,67,0,0,0,14008,1009,956
14010,1099,2274,295,119,79,64,0,0,0,9515,1078,957
16821,1168,3359,263,50,29,8,0,0,0,10323,891,959
1,0,1,0,0,0,0,0,0,0,0,0,960
10716,904,1752,293,33,0,0,0,0,0,5991,491,961
7392,498,2078,183,0,0,51,0,0,0,1457,156,962
1665,82,659,46,0,30,5,0,0,0,676,13,965
6807,239,522,103,38,0,0,0,0,0,1885,38,966
1554,141,64,27,13,0,0,0,0,0,565,0,968
15814,766,2093,167,69,0,94,40,0,0,7772,266,969
9420,593,1500,75,0,0,27,0,0,0,4908,607,971
31391,2180,7297,723,232,0,65,0,0,0,6045,521,976
5991,938,850,302,53,26,50,0,0,0,4910,348,979
4957,430,2116,169,92,37,0,0,0,0,3827,442,982
10775,814,4575,462,37,0,0,0,0,0,8981,1022,983
10058,883,4744,429,52,10,0,0,0,0,9975,803,985
17021,1280,6332,350,109,18,55,0,18,0,16760,1084,987
13484,487,431,36,478,11,0,0,0,0,116,29,1001
16474,210,910,32,1977,108,12,7,119,0,486,0,1002
7550,259,610,43,2393,46,0,0,0,0,54,0,1003
4467,23,34,0,0,0,0,0,0,0,0,0,1005
13732,125,171,0,497,0,0,0,0,0,277,0,1007
1163,48,0,0,0,0,2,0,0,0,0,0,1008
671,0,0,0,0,0,0,0,0,0,0,0,1009
2921,64,89,77,7,0,0,0,0,0,71,0,1010
1185,94,0,0,0,0,0,0,0,0,20,3,1011
409,21,0,0,0,0,0,0,0,0,0,0,1012
15145,466,1200,91,489,0,25,0,0,0,2998,84,1013
24184,849,1520,25,674,0,2,0,0,0,912,72,1020
1402,45,230,14,65,0,0,0,0,0,64,14,1022
1010,14,6,0,0,0,1,0,0,0,4,0,1026
15014,564,106,1,260,9,0,0,5,0,305,0,1027
14040,14,428,0,219,0,0,0,0,0,249,52,1028
521,0,0,0,0,0,1,0,0,0,0,0,1029
11023,686,141,14,75,6,0,0,0,0,147,0,1030
1488,13,0,0,0,0,0,0,0,0,59,0,1031
476,3,0,0,0,0,0,0,0,0,5,0,1032
5562,202,122,0,31,0,0,0,0,0,18,0,1033
1872,77,21,0,6,6,5,0,0,0,0,0,1034
4658,91,0,0,129,0,0,0,0,0,36,0,1035
4475,78,0,0,22,0,18,0,0,0,138,0,1036
516,1,1,0,11,0,1,0,0,0,0,0,1037
2146,0,0,0,25,0,30,0,0,0,149,0,1038
1625,10,23,0,0,0,23,0,0,0,7,0,1039
24282,728,1581,117,310,0,197,0,0,0,2726,127,1040
2559,23,35,0,0,0,7,0,0,0,3,0,1050
1404,0,146,0,6,0,0,0,0,0,35,0,1053
1535,73,6,0,65,2,0,0,0,0,7,0,1054
17698,407,156,16,219,0,0,0,0,0,466,13,1056
7564,150,49,0,116,52,0,0,0,0,49,8,1057
12286,177,134,0,450,43,36,0,6,0,555,75,1060
8013,158,101,8,121,0,10,0,0,0,292,0,1062
1321,31,111,0,453,5,0,0,0,0,10,0,1063
134,0,0,0,0,0,0,0,0,0,0,0,1066
1440,41,21,0,0,0,0,0,0,0,10,0,1068
7126,147,237,0,151,0,0,0,0,0,78,0,1069
502,5,1,0,1,0,9,0,0,0,1,0,1070
1104,59,30,0,1,0,0,0,0,0,8,0,1071
1280,10,6,0,12,0,0,0,0,0,13,0,1072
5488,153,0,21,110,0,0,0,0,0,7,0,1073
664,0,0,0,0,0,0,0,0,0,0,0,1074
14758,249,221,8,844,22,0,0,0,0,107,0,1075
8463,122,22,0,105,0,40,0,0,0,188,0,1077
571,33,1,0,0,0,0,0,0,0,35,0,1079
2014,62,88,0,20,0,0,0,0,0,256,0,1080
1579,54,9,0,2,0,2,0,3,0,3,0,1081
9467,191,295,0,1,0,0,0,0,0,185,0,1082
2202,41,23,0,163,0,0,0,0,0,0,0,1083
93,6,0,0,0,0,0,0,0,0,0,0,1084
34440,785,600,0,1761,59,16,0,11,0,1580,0,1085
686,7,0,0,32,0,0,0,0,0,0,0,1088
22157,950,993,17,1486,44,68,0,0,0,914,47,1089
1357,41,30,0,0,0,0,0,0,0,0,0,1092
145,0,0,0,0,0,0,0,0,0,0,0,1093
44,0,0,0,0,0,0,0,0,0,0,0,1094
12678,223,555,0,166,53,0,0,15,0,82,0,1095
2356,44,15,6,1,0,14,0,0,0,0,0,1096
36,0,0,0,0,0,0,0,0,0,0,0,1097
891,32,0,0,0,0,0,0,0,0,5,0,1098
962,0,462,34,69,0,24,0,0,0,230,5,1103
9490,278,3097,27,158,0,33,0,0,0,3044,70,1104
3797,129,1939,163,22,0,0,0,0,0,1829,55,1105
13774,177,206,0,916,10,0,0,0,0,59,0,1106
5010,58,1424,15,191,0,4,0,0,0,2741,212,1107
11369,488,4537,192,1768,29,48,29,0,0,2744,343,1108
11038,343,10796,429,415,10,343,0,0,0,3507,205,1109
8735,290,2631,74,793,0,76,0,0,0,613,4,1118
7182,245,3215,9,566,63,73,0,0,0,1090,82,1119
2185,39,263,1,101,0,0,0,0,0,170,0,1128
4092,113,774,0,132,31,17,0,0,0,406,6,1129
0,0,0,0,0,0,0,0,0,0,0,0,1144
4732,167,1651,26,19,89,0,0,0,0,643,134,1151
36048,681,2331,219,536,30,62,0,12,0,1205,92,1201
7523,189,28,0,62,0,3,0,0,0,54,0,1220
601,22,0,0,0,0,0,0,0,0,0,0,1222
2179,180,38,0,8,0,2,2,0,0,15,0,1223
124,0,0,0,0,0,0,0,0,0,0,0,1224
2900,7,26,0,79,0,11,0,0,0,0,0,1225
5861,64,14,0,62,11,0,0,0,0,0,0,1226
125,0,0,0,0,0,0,0,0,0,0,0,1229
7789,183,148,0,50,0,23,0,3,0,205,4,1230
2258,25,12,0,0,0,6,0,12,0,26,0,1235
1273,0,7,0,254,3,0,0,0,0,0,0,1236
2376,38,25,0,0,0,0,0,0,0,4,0,1237
5217,79,36,0,136,0,15,0,0,0,143,0,1238
4299,17,48,13,13,0,16,0,0,0,99,30,1240
255,0,0,0,0,0,0,0,0,0,0,0,1242
122,0,0,0,0,0,6,0,0,0,0,0,1243
156,2,0,0,0,0,0,0,0,0,0,0,1244
790,0,3,0,3,0,0,0,0,0,24,0,1245
13314,291,225,0,436,0,33,0,0,0,297,39,1247
777,15,0,0,0,0,0,0,0,0,0,0,1253
887,0,43,0,14,0,0,0,0,0,0,0,1254
762,28,16,0,6,0,0,0,0,0,0,0,1255
575,5,27,0,0,0,1,0,0,0,0,0,1256
2123,0,1,0,46,0,0,0,0,0,11,0,1257
183,0,0,0,0,0,0,0,0,0,0,0,1258
660,22,27,11,0,0,0,0,0,0,7,0,1259
20,0,0,0,0,0,0,0,0,0,0,0,1260
1596,30,9,40,39,0,5,0,0,0,0,0,1262
204,0,0,0,0,0,0,0,0,0,0,0,1264
899,4,1,0,12,0,17,0,0,0,0,0,1266
6651,54,249,13,356,37,8,0,0,0,95,0,1267
795,48,0,0,7,0,0,0,0,0,0,0,1270
15280,304,389,0,305,0,18,0,8,0,580,0,1301
1407,29,1,0,16,0,0,0,0,0,49,1,1330
12415,368,60,0,86,0,10,0,0,0,283,19,1331
2294,46,2,0,21,0,1,0,0,0,14,0,1337
60,0,0,0,0,0,0,0,0,0,5,0,1338
1331,12,0,0,25,2,0,0,0,0,0,0,1339
1734,60,7,4,7,4,0,0,0,0,0,0,1340
1530,30,0,0,7,0,4,0,0,0,7,0,1341
983,7,43,0,4,0,0,0,0,0,0,0,1342
146,12,0,0,0,0,0,0,0,0,0,9,1343
1509,35,20,0,0,0,5,2,0,0,0,0,1344
350,22,0,0,9,0,0,0,0,0,0,0,1346
139,0,0,0,34,0,0,0,0,0,24,0,1347
614,42,0,0,15,0,5,0,0,0,0,0,1349
103,0,0,0,0,0,0,0,0,0,0,0,1350
2625,22,29,0,0,0,4,0,0,0,0,0,1351
1544,4,43,0,33,68,0,0,0,0,0,0,1354
730,54,0,0,10,0,3,0,0,0,91,0,1355
2497,122,5,1,0,1,0,0,0,0,110,0,1360
6900,153,74,0,52,0,11,0,0,0,12,0,1364
1069,8,5,0,12,0,0,0,3,0,11,0,1366
437,6,5,0,2,0,0,0,0,0,15,0,1367
1357,49,0,0,2,0,0,0,0,0,19,0,1368
3277,63,15,0,56,0,0,0,0,0,0,0,1370
4765,24,11,0,1,0,0,0,0,0,0,0,1373
2794,50,101,0,484,67,0,0,0,0,50,0,1375
4185,110,18,0,0,0,0,0,0,0,219,0,1376
765,22,0,0,9,0,0,0,0,0,0,0,1378
645,17,45,5,18,0,0,0,0,0,7,0,1379
25,0,0,0,0,0,0,0,0,0,0,0,1380
27763,608,2861,78,714,10,89,0,0,0,2749,23,1420
5945,29,48,0,53,0,14,0,0,0,48,0,1430
3001,88,0,0,15,0,0,0,0,0,0,0,1431
6140,101,236,0,131,0,8,0,0,0,398,0,1432
460,0,210,0,171,0,0,0,0,0,11,0,1434
3463,20,18,0,0,0,0,0,0,0,82,0,1436
382,0,2,1,0,0,0,0,0,0,0,0,1438
16966,518,342,30,626,23,38,0,0,0,664,18,1440
9505,133,37,0,536,0,0,0,0,0,61,0,1450
4670,43,0,0,258,0,0,0,0,0,0,0,1451
3917,50,121,0,109,0,10,0,0,0,5,0,1452
32153,959,2759,64,1263,15,45,0,0,0,1591,65,1453
8415,302,57,0,712,0,5,0,0,0,144,0,1460
10582,49,203,22,112,0,0,0,0,0,241,84,1462
9916,218,280,0,599,34,0,0,0,0,83,0,1463
5468,71,209,0,126,0,0,0,15,0,30,0,1464
3774,52,0,0,72,0,0,0,0,0,0,0,1468
6193,66,283,0,296,0,0,0,0,0,48,0,1469
7919,94,0,0,53,0,0,0,12,0,0,0,1473
1697,24,0,0,0,0,0,0,0,0,55,0,1474
8612,195,129,0,406,28,0,0,0,0,74,63,1475
15040,232,78,0,426,27,0,0,0,0,215,15,1501
3164,45,36,0,108,0,0,0,0,0,3,0,1503
7888,142,286,0,176,1,0,0,24,0,116,0,1504
4464,43,15,0,169,0,0,0,0,0,22,0,1505
3250,8,13,0,6,0,0,0,0,0,107,0,1506
12237,97,77,5,24,0,14,0,0,0,59,0,1507
12629,396,243,11,281,0,23,0,0,0,733,14,1510
1960,19,18,3,33,0,0,0,0,0,10,0,1515
8763,16,17,0,29,0,0,0,0,0,116,0,1516
2758,82,34,0,88,0,0,0,0,0,67,0,1518
6434,159,23,20,529,0,0,0,0,0,52,0,1519
14333,262,438,0,376,0,12,0,33,0,186,0,1520
2359,92,0,0,21,0,31,0,0,0,0,0,1521
2696,35,48,0,29,0,8,14,0,0,0,0,1522
6665,138,80,0,38,10,13,0,0,0,106,0,1523
5407,98,221,2,45,7,0,0,0,0,55,0,1524
31,0,0,0,0,0,0,0,0,0,0,0,1525
11511,167,179,1,641,0,24,0,41,0,38,0,1527
2948,46,12,13,18,0,0,0,0,0,16,7,1529
916,23,6,17,2,0,0,0,0,0,4,0,1531
11863,190,513,2,1718,0,0,0,0,0,424,0,1532
5080,169,123,0,141,0,0,0,12,0,60,16,1534
4487,94,74,0,6,0,0,0,0,0,17,0,1535
5444,115,119,82,466,30,64,0,0,0,68,14,1536
1762,34,82,0,0,0,0,0,0,0,1,0,1537
10272,172,135,0,102,0,0,0,0,0,329,14,1540
3333,0,8,7,0,0,0,0,0,0,30,0,1541
2389,52,127,0,0,0,0,0,0,0,40,0,1542
8564,24,64,0,284,0,0,0,0,0,28,0,1543
24926,495,1350,22,8893,132,48,0,0,0,569,36,1545
11817,331,861,5,201,0,129,0,0,0,1558,17,1550
3296,207,68,28,572,20,0,0,0,0,116,0,1560
0,0,0,0,0,0,0,0,0,0,0,0,1561
10606,448,66,50,80,0,0,0,0,0,188,21,1562
7583,14,62,0,22,0,20,0,0,0,72,0,1564
5999,93,92,0,253,0,27,0,0,0,103,0,1566
6453,40,426,0,292,20,13,0,0,0,104,0,1568
12387,551,220,0,81,0,104,0,0,0,154,14,1569
13180,276,993,53,176,0,92,0,0,0,1347,31,1570
10224,161,502,44,390,38,0,0,0,0,113,0,1571
12942,93,659,0,5615,126,0,0,0,0,739,17,1581
5929,96,146,0,75,0,0,0,0,0,151,19,1583
4417,133,0,0,0,0,54,0,0,0,42,0,1585
9083,303,16,0,35,0,0,0,0,0,267,0,1588
8272,250,83,0,141,0,0,0,0,0,24,0,1590
17642,492,2812,122,1389,3,14,0,38,10,909,72,1602
10994,511,1912,164,2811,47,138,1,0,34,1128,31,1603
24388,710,6164,209,2776,32,132,0,61,0,2699,54,1604
16345,474,4114,74,1188,95,116,0,29,0,2687,221,1605
14465,414,2373,17,1461,14,0,0,0,0,845,123,1606
5178,89,1568,131,117,0,0,0,0,0,333,15,1607
2181,106,495,0,453,0,373,0,0,0,385,15,1608
15243,379,1980,47,1373,0,21,0,0,0,1041,45,1609
13241,478,3409,387,1988,60,16,0,55,0,2297,219,1610
1950,18,43,0,4,0,0,0,0,0,64,0,1611
4523,49,131,0,40,9,0,0,0,0,23,0,1612
23069,447,1474,53,2948,21,4,0,0,0,1736,141,1701
18031,583,2800,123,2413,0,28,11,24,0,6944,1342,1702
329,0,0,0,265,0,0,0,0,0,0,0,1718
3694,79,366,148,950,8,0,0,0,0,77,0,1719
14351,213,741,145,5635,120,0,0,0,0,243,0,1720
13311,196,851,0,2557,32,64,0,0,0,642,11,1721
10052,78,314,0,2773,0,8,0,0,0,142,51,1730
654,0,35,0,157,48,0,0,0,0,311,0,1731
4798,30,0,0,341,12,28,0,0,0,106,0,1740
4376,20,3,0,548,0,0,0,0,0,44,0,1741
14290,141,406,3,842,5,34,0,0,0,57,0,1742
355,55,0,0,138,0,0,0,0,0,0,0,1745
12754,226,86,0,798,10,0,0,0,0,313,0,1746
5348,294,94,0,22,0,0,0,0,0,0,0,1747
14145,66,138,0,3014,63,31,0,0,0,310,0,1748
16300,360,167,0,961,0,145,0,11,0,626,42,1749
25601,869,1286,113,2121,5,49,30,38,15,5227,728,1752
9150,88,45,4,430,30,0,0,0,0,123,0,1754
5694,158,25,0,36,0,0,0,0,0,19,0,1756
21311,855,1196,0,755,0,215,48,0,0,2520,357,1757
28216,385,536,38,4956,22,52,0,8,0,342,40,1760
3615,49,9,0,342,0,0,0,0,0,14,0,1770
7556,21,51,0,1553,0,0,0,0,0,339,28,1772
4556,53,44,0,231,16,0,0,0,0,0,0,1773
5877,0,212,0,400,0,0,0,0,0,212,20,1775
15312,98,268,26,1878,30,7,0,23,0,172,0,1776
11151,123,118,1,1774,25,0,0,18,0,169,0,1778
30552,487,2079,12,3830,90,28,0,0,0,1533,37,1801
19353,539,522,37,3718,68,15,0,48,0,155,118,1803
25940,409,816,0,5318,17,37,0,0,0,776,7,1810
24708,297,1438,85,2758,12,0,0,41,0,401,0,1821
21418,308,411,75,2269,30,25,0,0,0,399,55,1824
26536,614,1007,169,1500,80,0,0,0,0,517,0,1826
3034,4,37,0,113,4,0,0,0,0,0,3,1827
17951,675,1093,53,280,40,42,0,0,0,2355,342,1830
16919,514,651,68,548,15,25,7,0,0,2952,279,1832
7611,57,100,0,86,0,7,0,0,0,13,0,1833
6588,25,0,0,11,0,0,0,0,0,41,0,1834
11070,363,682,0,98,0,0,0,0,0,598,82,1835
1556,59,234,7,0,0,44,0,0,0,4136,175,1840
11052,604,2517,164,690,0,141,0,0,0,26045,1856,1841
8578,614,1489,52,1123,39,68,0,0,0,12089,844,1843
31572,952,2754,153,2118,87,114,0,0,0,8592,495,1844
25368,580,823,35,2133,0,99,0,0,0,801,54,1845
9203,336,2070,48,2346,185,0,0,24,58,994,62,1850
11413,502,2755,152,12923,559,106,0,0,0,1459,135,1851
22154,982,3031,105,4805,421,182,0,33,0,2307,102,1852
16357,653,2492,108,4354,283,8,0,21,0,1411,78,1854
6076,200,0,0,43,0,0,0,0,0,1,0,1860
7755,40,839,0,576,0,0,0,0,0,511,0,1862
7864,90,201,45,853,0,11,0,0,0,153,0,1863
13451,173,177,0,676,0,0,0,0,0,137,0,1864
21890,187,92,0,1632,0,14,0,0,0,184,0,1867
27039,217,898,23,1284,9,0,0,0,0,198,0,1876
9781,332,209,18,1183,0,0,0,0,0,528,0,1879
23597,536,244,28,1093,0,10,0,0,0,249,3,1880
17340,118,189,0,5553,0,32,0,0,0,393,0,1886
19899,139,355,42,1176,15,21,0,0,0,8,0,1887
16526,297,531,22,3589,11,77,0,6,0,242,5,1890
728,19,277,118,9,0,46,0,0,0,371,0,1901
19165,535,7260,517,2470,151,174,73,0,0,12855,851,1902
13358,396,938,126,1108,7,16,0,82,0,2819,8,1904
12587,378,4178,98,2001,64,206,0,0,0,3668,269,1905
22774,502,865,62,854,10,14,0,25,0,1327,260,1906
13279,164,462,0,440,0,57,0,0,0,82,0,1907
3065,34,63,0,20,0,0,0,0,0,17,0,1908
14823,340,497,41,166,0,15,0,0,0,203,0,1913
35307,711,1185,7,982,76,96,0,5,0,523,6,1915
7626,16,2,0,66,27,0,0,0,0,0,0,1921
3551,51,0,0,32,0,0,0,0,0,98,0,1922
24488,294,653,0,657,0,30,0,67,0,402,0,1923
3496,85,0,0,0,0,0,0,0,0,26,0,1929
26134,814,321,29,683,66,20,0,0,0,547,0,1930
153,0,0,0,11,0,0,0,0,0,12,0,1937
12613,227,137,0,278,0,0,0,0,0,54,0,1938
10600,159,262,25,1033,38,0,0,0,0,389,0,1940
4988,85,0,0,39,0,0,0,0,0,182,0,1944
19054,285,228,0,204,0,111,0,0,0,88,0,1945
8148,86,63,4,216,16,12,0,0,0,43,0,1949
16621,333,95,0,277,0,0,0,0,0,51,0,1950
2586,0,0,0,96,0,0,0,0,0,26,0,1951
7721,309,99,0,287,0,21,0,0,0,153,0,1952
44483,1069,1519,165,815,23,56,0,0,0,1591,107,1960
757,0,0,0,0,0,0,0,0,0,28,0,1965
6488,82,32,0,15,0,6,0,0,0,27,0,1966
5778,0,0,0,122,0,0,0,0,0,0,0,1969
33125,749,2566,37,1321,46,95,0,0,0,2751,35,1970
7075,75,54,0,253,0,0,0,0,0,11,0,1982
5469,38,116,0,358,0,0,0,0,0,0,0,1983
4506,54,118,0,121,7,0,0,4,0,24,0,1984
3983,11,0,0,92,0,30,0,0,0,0,0,1985
14240,208,139,0,199,0,0,0,0,0,281,275,2019
17968,129,1952,208,2024,8,138,0,0,0,451,17,2021
7595,166,57,0,50,0,20,12,55,0,68,0,2025
20486,234,1389,25,563,21,5,0,49,0,422,13,2026
4640,0,99,0,770,0,0,0,0,0,50,0,2030
3537,0,133,0,544,0,0,0,0,0,0,0,2032
14999,185,782,0,1135,74,12,0,0,0,147,0,2035
28583,262,477,0,1799,56,10,0,0,0,92,0,2038
22385,78,207,0,579,0,17,0,0,0,57,0,2043
9577,63,8,0,156,0,0,0,0,0,125,0,2045
218,0,0,0,0,0,0,0,0,0,0,0,2047
20229,289,414,35,1552,0,53,0,0,0,477,0,2048
24153,541,288,0,182,0,27,0,0,13,97,72,2050
11253,111,193,0,536,0,0,0,0,0,23,0,2052
10906,134,190,0,721,0,6,0,0,0,118,0,2053
7514,138,149,0,222,0,0,0,0,0,89,0,2054
9054,45,80,0,219,0,0,0,0,0,36,0,2056
10093,46,32,0,410,0,0,0,0,0,133,0,2061
23128,559,2035,33,2088,0,0,0,0,0,1369,24,2062
16834,101,36,0,378,0,0,0,0,0,373,50,2066
12657,122,534,5,3506,29,33,0,0,0,365,9,2067
1334,0,0,0,0,0,0,0,0,0,69,0,2071
18082,231,5087,106,1596,31,0,0,0,36,1630,0,2072
17442,316,426,21,624,0,52,0,0,0,65,0,2081
12489,132,437,0,1800,0,0,0,0,0,286,0,2090
10882,147,246,1,244,6,2,0,0,0,26,0,2093
3511,57,172,4,107,0,0,0,0,0,180,6,2108
2722,53,36,0,381,0,0,0,0,0,11,0,2109
1994,6,118,11,103,0,0,0,13,0,20,0,2110
3347,0,202,0,3884,74,27,0,0,0,153,0,2111
5844,133,228,10,182,31,8,0,0,0,179,0,2113
9934,90,237,0,1158,0,13,0,0,0,447,1,2114
15847,145,2445,98,5147,155,28,0,88,0,1146,24,2115
14771,202,1133,6,3429,13,45,0,0,126,694,1,2116
13361,274,4290,296,4377,75,229,0,0,0,2314,72,2118
4809,122,12622,689,721,0,148,0,0,0,3607,337,2119
5477,315,2692,186,2393,132,58,71,4,0,1723,157,2120
3224,162,15787,438,175,28,27,0,0,0,4154,285,2121
8360,197,6735,339,3539,217,132,0,0,0,1968,20,2122
11157,216,26158,1310,3613,59,107,0,7,0,3243,485,2124
10826,314,9001,643,3353,155,280,12,0,0,3386,120,2125
1602,224,17762,526,214,75,9,0,0,0,1124,8,2126
27884,462,1590,75,2513,10,32,0,0,0,1068,51,2127
20037,1520,1363,58,1816,27,250,34,39,0,2838,411,2128
14880,55,1313,72,1569,33,0,2,0,0,397,0,2129
25691,217,5113,51,2625,10,219,0,19,0,2901,71,2130
17062,187,7283,327,646,29,62,0,0,0,2287,237,2131
19423,254,1261,13,2050,252,78,0,0,0,716,38,2132
0,0,0,0,0,0,0,0,0,0,0,0,2133
10486,338,950,32,3978,151,89,12,0,0,734,1,2134
