STATE,COUNTYNAME,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,MUA_County,MUA_State,MUA_count
Florida,Levy County,88.16923076923078,17.046153846153846,88.83076923076922,17.26153846153846,80.69090909090909,21.572727272727274,91.42857142857143,19.52857142857143,73.2,36.628571428571426,100.0,0.0,61.9,5.2,45.669230769230765,38.127272727272725,27.62857142857143,63.74285714285714,0.0,45.228571428571435,45.74615384615385,5.038461538461538,14.266666666666667,25.0,2.3000000000000003,100.0,2.1399999999999997,5.061538461538461,58166.0,8971.0,6162.0,664.0,760.0,45.0,120.0,0.0,2.0,0.0,203.0,48.0,Levy County,Florida,2.0
Idaho,Lewis County,91.19999999999999,18.744444444444444,91.48888888888888,19.033333333333335,71.13333333333333,36.36666666666667,86.51111111111112,5.155555555555555,80.95,10.700000000000001,100.0,37.5,83.52000000000001,0.0,47.855555555555554,48.666666666666664,44.75555555555556,21.849999999999998,18.75,15.299999999999999,47.766666666666666,5.4,0.0,3.7125,0.0,50.0,0.0,5.477777777777778,11951.0,1567.0,36.0,0.0,129.0,19.0,617.0,302.0,6.0,1.0,87.0,29.0,Lewis County,Idaho,1.0
Kentucky,Lewis County,76.6888888888889,8.866666666666667,76.80000000000001,8.844444444444443,60.85,3.925,100.0,50.0,97.3,16.95,,,0.0,0.0,42.68888888888889,14.275,15.35,89.3,,100.0,42.577777777777776,4.722222222222222,54.4,0.0,0.0,,0.0,4.7444444444444445,38592.0,2783.0,1058.0,61.0,168.0,35.0,54.0,29.0,7.0,0.0,46.0,0.0,Lewis County,Kentucky,2.0
Missouri,Lewis County,90.925,14.125,90.91666666666667,14.116666666666667,78.55,10.65,79.425,13.225,100.0,0.0,100.0,0.0,,,61.38333333333333,41.620000000000005,19.4,0.0,50.0,,61.425000000000004,2.2,20.6,0.0,,0.0,,2.2083333333333335,10917.0,1159.0,369.0,44.0,9.0,0.0,47.0,21.0,24.0,0.0,0.0,0.0,Lewis County,Missouri,1.0
New York,Lewis County,89.45416666666667,16.4375,89.60833333333333,16.491666666666667,82.07857142857142,13.714285714285714,75.87777777777778,4.244444444444444,80.3,25.385714285714283,81.66666666666667,0.0,70.75,8.225,55.15,35.13333333333333,56.87777777777777,25.892857142857142,38.75,45.3125,54.97083333333333,5.866666666666667,7.366666666666666,0.0,23.533333333333335,0.0,0.0,5.9125000000000005,77282.0,4077.0,2605.0,69.0,930.0,90.0,346.0,20.0,37.0,14.0,383.0,82.0,Lewis County,New York,1.0
Tennessee,Lewis County,81.84285714285714,13.757142857142856,81.92857142857143,13.742857142857144,83.01428571428572,5.057142857142858,100.0,0.0,100.0,32.275,0.0,0.0,50.0,16.675,50.82857142857143,30.099999999999998,0.0,60.925,0.0,60.0,50.800000000000004,6.057142857142857,9.883333333333333,100.0,6.575,,0.0,5.957142857142857,37182.0,4125.0,1493.0,66.0,394.0,70.0,50.0,0.0,7.0,0.0,61.0,11.0,Lewis County,Tennessee,1.0
Washington,Lewis County,84.8875,15.295833333333334,85.72500000000001,15.504166666666668,86.3625,16.45,84.72142857142856,9.914285714285715,71.94166666666666,16.033333333333335,76.66,24.04,48.35454545454545,8.018181818181818,41.545833333333334,41.7875,50.021428571428565,22.916666666666668,64.42,47.372727272727275,42.050000000000004,8.034782608695652,15.083333333333334,7.369999999999999,26.160000000000004,10.76,10.75,8.08695652173913,80471.0,5506.0,356.0,16.0,949.0,144.0,1060.0,162.0,157.0,63.0,1148.0,498.0,Lewis County,Washington,11.0
West Virginia,Lewis County,85.05714285714285,12.228571428571428,85.04285714285713,12.278571428571428,100.0,7.033333333333334,80.96666666666667,32.46666666666667,66.66666666666667,16.3,,,0.0,0.0,47.635714285714286,40.300000000000004,33.333333333333336,28.2,,100.0,47.80714285714286,7.271428571428571,21.2,0.0,0.0,,0.0,7.235714285714286,41765.0,3149.0,382.0,103.0,124.0,0.0,102.0,0.0,0.0,0.0,40.0,19.0,Lewis County,West Virginia,1.0
Montana,Lewis and Clark County,95.55,32.910000000000004,95.44,32.67,89.60000000000001,30.166666666666668,69.3375,6.0875,85.125,46.55,100.0,0.0,84.46666666666667,17.3,53.35454545454545,28.32,48.8375,85.17999999999999,47.8,35.075,53.74545454545455,2.37,0.0,14.928571428571429,0.0,0.0,0.0,2.3899999999999997,66886.0,3527.0,171.0,23.0,444.0,21.0,916.0,221.0,27.0,8.0,236.0,111.0,Lewis and Clark County,Montana,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lexington City,Virginia,1.0
