STATE,COUNTYNAME,edu_white_hs,edu_white_bachelors,edu_white_non_hispanic_hs,edu_white_non_hispanic_bachelors,edu_black_hs,edu_black_bachelors,edu_ai_an_hs,edu_ai_an_bachelors,edu_asian_hs,edu_asian_bachelors,edu_npi_hs,edu_npi_bachelors,edu_other_hs,edu_other_bachelors,emp_pop_ratio_white,emp_pop_ratio_black,emp_pop_ratio_ai_an,emp_pop_ratio_asian,emp_pop_ratio_npi,emp_pop_ratio_other,emp_pop_ratio_white_non_hispanic,unemp_rate_white,unemp_rate_black,unemp_rate_ai_an,unemp_rate_asian,unemp_rate_npi,unemp_rate_other,unemp_rate_white_non_hispanic,hi_white_with_coverage,hi_white_no_coverage,hi_black_with_coverage,hi_black_no_coverage,hi_asian_with_coverage,hi_asian_no_coverage,hi_ai_an_with_coverage,hi_ai_an_no_coverage,hi_npi_with_coverage,hi_npi_no_coverage,hi_other_with_coverage,hi_other_no_coverage,MUA_County,MUA_State,MUA_count
South Carolina,Abbeville County,85.22307692307693,18.323076923076922,85.94615384615385,18.423076923076923,82.5076923076923,12.3,75.0,31.575,98.01666666666667,80.48333333333333,100.0,0.0,59.4375,17.5625,48.62307692307692,50.70769230769231,44.725,41.45,100.0,64.85555555555555,48.65384615384615,5.8307692307692305,7.261538461538461,0.0,1.45,0.0,2.042857142857143,5.976923076923077,74610.0,8926.0,28783.0,2912.0,910.0,9.0,54.0,116.0,0.0,31.0,667.0,350.0,Abbeville County,South Carolina,2.0
Louisiana,Acadia Parish,80.05,14.06875,80.55625,14.175,72.64166666666667,6.808333333333334,72.82000000000001,17.46,66.66666666666667,66.66666666666667,,,59.92727272727273,19.254545454545454,51.46875,39.392307692307696,49.32,40.475,,51.63636363636363,51.51875,8.99375,9.075000000000001,20.0,19.05,,13.542857142857143,9.19375,100603.0,9210.0,24873.0,3407.0,77.0,0.0,316.0,58.0,0.0,0.0,367.0,499.0,Acadia Parish,Louisiana,1.0
Virginia,Accomack County,87.22424242424243,25.009090909090908,88.3060606060606,25.921212121212122,64.25652173913043,7.256521739130435,66.66666666666667,24.566666666666666,98.33333333333333,30.433333333333334,,,54.24444444444444,11.11111111111111,46.67575757575757,54.69130434782609,75.0,43.96666666666667,,64.38,46.275757575757574,3.0799999999999996,2.475,0.0,0.0,,0.0,3.1233333333333335,20382.0,3014.0,9059.0,1536.0,281.0,0.0,39.0,9.0,0.0,0.0,59.0,90.0,Accomack County,Virginia,1.0
Idaho,Ada County,95.62941176470588,39.76470588235294,96.29411764705883,40.4,89.96666666666667,28.373333333333335,84.94117647058823,27.894117647058824,91.93529411764706,51.23529411764706,98.81,22.65,77.87647058823529,22.429411764705883,64.18235294117646,54.61764705882353,56.5529411764706,60.65882352941177,38.61818181818182,69.27058823529411,64.02941176470588,3.4647058823529413,10.99375,7.7562500000000005,2.5625,24.2,6.41764705882353,3.3705882352941177,414006.0,34931.0,5732.0,483.0,11339.0,891.0,2450.0,466.0,844.0,270.0,8164.0,1713.0,Ada County,Idaho,10.0
Iowa,Adair County,95.19285714285715,19.157142857142855,95.44285714285715,19.192857142857143,75.32000000000001,35.9,33.333333333333336,0.0,61.51666666666667,19.516666666666666,,,90.0,30.0,63.75,51.67999999999999,0.0,70.89999999999999,100.0,73.48333333333333,63.81428571428571,4.935714285714285,25.0,,0.0,0.0,16.666666666666668,4.707142857142857,28019.0,1258.0,114.0,15.0,252.0,41.0,4.0,30.0,8.0,0.0,93.0,17.0,Adair County,Iowa,3.0
Kentucky,Adair County,80.19,13.89,80.58,13.95,87.46000000000001,5.5,61.17999999999999,2.7199999999999998,75.0,26.7,,,35.666666666666664,2.3333333333333335,48.510000000000005,21.76,20.34,76.75,,59.166666666666664,48.339999999999996,4.7700000000000005,15.024999999999999,0.0,0.0,,0.0,4.7700000000000005,51268.0,3718.0,733.0,49.0,114.0,98.0,228.0,0.0,0.0,0.0,401.0,243.0,Adair County,Kentucky,1.0
Missouri,Adair County,90.02222222222223,17.833333333333332,90.32222222222222,17.977777777777778,99.36666666666667,11.200000000000001,76.425,14.75,98.66,55.0,50.0,50.0,100.0,0.0,50.03333333333333,31.833333333333332,53.349999999999994,49.660000000000004,50.0,91.23333333333333,50.333333333333336,4.1,0.0,0.0,0.0,0.0,0.0,4.111111111111111,24586.0,2458.0,819.0,89.0,558.0,40.0,76.0,0.0,10.0,0.0,96.0,25.0,,,
Oklahoma,Adair County,85.21666666666667,18.133333333333333,85.85000000000001,18.216666666666665,96.0,0.0,84.78333333333333,9.933333333333334,86.92,30.839999999999996,100.0,0.0,70.175,2.0,41.5,50.025000000000006,44.76666666666667,68.97999999999999,93.2,50.8,41.28333333333333,4.733333333333333,22.866666666666664,5.733333333333333,0.0,0.0,1.6666666666666667,4.566666666666666,9096.0,1758.0,128.0,16.0,154.0,85.0,7053.0,3928.0,19.0,8.0,594.0,129.0,Adair County,Oklahoma,4.0
Colorado,Adams County,86.6891891891892,31.76756756756757,95.26756756756757,36.80810810810811,90.73030303030303,35.08787878787879,87.34594594594596,20.791891891891893,83.315625,38.55,88.66315789473684,36.48947368421052,67.85135135135135,19.245945945945948,67.22162162162162,67.57878787878788,71.74324324324324,67.165625,74.68095238095238,64.64324324324325,65.67297297297297,3.6648648648648647,4.0062500000000005,2.7222222222222223,2.4645161290322584,0.9111111111111112,4.378378378378378,3.591666666666667,602887.0,59190.0,52222.0,5611.0,34243.0,2362.0,7253.0,986.0,1287.0,144.0,51218.0,14769.0,Adams County,Colorado,16.0
Idaho,Adams County,92.86666666666667,21.583333333333332,92.93333333333334,22.133333333333336,100.0,0.0,100.0,12.5,100.0,0.0,,,50.0,0.0,43.699999999999996,0.0,50.0,100.0,0.0,50.0,44.23333333333333,7.033333333333332,100.0,0.0,0.0,100.0,0.0,7.166666666666667,10206.0,1167.0,14.0,0.0,8.0,0.0,114.0,0.0,0.0,17.0,1.0,0.0,Adams County,Idaho,2.0
